                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7258,                 5.9753,                 2.0787,                0.00202,                0.90128,                0.05099,                 0.0175,                 2.0747,                 6.3973,                 2.8954,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.9722,                 4.6236,                 2.2307,                0.51468,                0.01351,                0.00342,                0.00098,                 3.3687,                 7.1217,                 11.351,              0.0010841,              0.0010841,              0.0010841
                      3,                 2.0496,                 3.5645,                 2.3064,                0.50781,                0.01351,                0.00071,                0.00015,                 4.3324,                 21.082,                 20.761,               0.001618,               0.001618,               0.001618
                      4,                 2.0511,                 2.9233,                 2.2624,                 0.5124,                 0.0473,                0.00614,                0.00155,                 2.7445,                 22.537,                 7.9183,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9937,                 2.5183,                 2.2217,                0.82692,                0.11486,                0.13192,                0.05438,                 3.0951,                 64.599,                 4.4436,               0.001601,               0.001601,               0.001601
                      6,                 1.9336,                  2.339,                   2.12,                0.59553,                0.05405,                0.05499,                0.02857,                 2.2641,                  25.52,                 2.6927,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.9283,                   2.13,                 2.0893,                0.75289,                0.14865,                   0.18,                0.08936,                 2.0064,                  5.595,                 2.4581,               0.001568,               0.001568,               0.001568
                      8,                  1.816,                 2.0872,                 2.0026,                0.39354,                0.47499,                0.43577,                0.21867,                 1.8298,                 3.6337,                 2.3569,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.7568,                 2.0514,                 1.9875,                0.80082,                0.22297,                0.28204,                0.14519,                 1.7876,                 3.0372,                   2.25,               0.001535,               0.001535,               0.001535
                     10,                   1.78,                  2.028,                 1.9914,                0.50196,                0.33468,                 0.3677,                0.15741,                 2.2309,                 2.9725,                 2.6456,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.7688,                 1.9679,                 1.9805,                0.76789,                0.31757,                0.37687,                0.18768,                 1.9907,                 3.8541,                  2.397,               0.001502,               0.001502,               0.001502
                     12,                 1.7643,                 1.9321,                 2.0084,                0.39337,                0.50228,                0.46114,                0.24469,                  1.883,                 2.0197,                 2.3198,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.7157,                 1.8963,                  1.951,                0.51404,                0.64725,                0.58937,                 0.2938,                 1.8083,                 1.5164,                 2.2473,               0.001469,               0.001469,               0.001469
                     14,                 1.6746,                 1.8519,                 1.8994,                0.30564,                0.38303,                0.36109,                0.17985,                 1.8431,                  2.454,                 2.2273,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.6929,                 1.8562,                 1.9219,                0.47766,                0.66352,                0.64362,                0.30998,                 1.7362,                 1.6499,                 2.1919,               0.001436,               0.001436,               0.001436
                     16,                 1.6866,                 1.6949,                 1.8979,                0.54025,                0.65549,                0.61836,                0.32963,                 1.6576,                 1.5196,                 2.0631,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.6662,                 1.7879,                 1.9097,                0.57747,                0.64821,                0.57117,                0.29139,                  1.654,                  1.795,                 2.0764,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.6409,                 1.6697,                 1.8526,                0.50404,                0.62697,                0.59958,                0.28675,                 1.7208,                 1.5667,                 2.1712,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.6543,                 1.6851,                 1.8585,                0.47817,                0.53212,                0.59114,                0.27906,                  1.915,                 1.6409,                 2.3214,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.6073,                 1.6456,                 1.8097,                0.46392,                0.68568,                0.58456,                0.29336,                 1.7274,                 1.6266,                 2.1539,              0.0013534,              0.0013534,              0.0013534
                     21,                  1.605,                 1.5804,                  1.822,                0.50858,                0.65865,                0.59519,                0.29906,                 1.6443,                 1.5325,                 2.0689,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.5928,                 1.6457,                 1.8313,                0.53245,                0.73087,                0.71499,                0.35362,                 1.5915,                 1.3845,                 2.0105,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.5767,                 1.6377,                 1.8204,                0.35311,                0.48956,                0.45627,                0.22646,                  1.962,                 2.8204,                 2.3534,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.5555,                 1.5764,                 1.7808,                0.52774,                0.64593,                0.66601,                0.33342,                  1.645,                 1.5348,                 2.0794,              0.0012874,              0.0012874,              0.0012874
                     25,                  1.593,                 1.5403,                 1.8043,                0.53672,                0.63922,                0.56266,                0.29826,                  1.622,                 1.4877,                 2.0507,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.5182,                 1.4947,                  1.749,                0.51261,                0.63628,                0.60895,                0.33459,                 1.5394,                 1.5666,                 1.9753,              0.0012544,              0.0012544,              0.0012544
                     27,                  1.543,                 1.5305,                   1.77,                0.55642,                0.74642,                0.62722,                0.35333,                 1.5306,                 1.4608,                 1.9549,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.5441,                 1.5376,                 1.7914,                 0.6643,                0.76587,                0.73848,                0.38284,                 1.5627,                 1.4504,                 2.0148,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.4966,                  1.515,                 1.7346,                0.57758,                0.75209,                0.70917,                0.38479,                 1.4659,                 1.3369,                 1.9208,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.5356,                 1.4777,                   1.75,                0.67297,                 0.6946,                0.71331,                0.36704,                 1.5356,                 1.2853,                 1.9707,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.4935,                 1.4639,                 1.7123,                 0.5832,                0.73815,                0.70719,                0.37923,                 1.5205,                 1.2885,                  1.963,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.4831,                 1.4785,                  1.734,                0.54961,                0.76492,                0.73966,                0.40218,                 1.5195,                 1.3274,                 1.9685,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.5144,                 1.5005,                 1.7599,                0.64444,                0.67269,                0.71288,                 0.3851,                 1.5049,                 1.2761,                 1.9546,              0.0011389,              0.0011389,              0.0011389
