                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7474,                 5.9578,                 2.0996,                0.00184,                0.80827,                0.13121,                0.06161,                 2.4217,                 7.2146,                 3.3735,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.9669,                 4.6357,                  2.253,                0.00043,                0.17717,                0.00243,                0.00074,                 3.9503,                 4.7317,                 7.3351,              0.0010733,              0.0010733,              0.0010733
                      3,                 2.0386,                 3.4995,                 2.3136,                0.52875,                0.02027,                0.00443,                0.00145,                 4.0473,                 7.9682,                 34.106,              0.0015853,              0.0015853,              0.0015853
                      4,                 2.0779,                  2.933,                 2.3031,                0.61135,                0.14189,                0.08846,                0.03008,                 2.5346,                 11.044,                 3.8463,               0.001568,               0.001568,               0.001568
                      5,                 1.9947,                 2.5619,                 2.2137,                0.52178,                0.06081,                 0.0141,                 0.0056,                  3.685,                 27.637,                 5.8569,               0.001535,               0.001535,               0.001535
                      6,                 1.9312,                 2.3058,                 2.0961,                0.63254,                0.14189,                0.08304,                0.04274,                  2.216,                 11.721,                 2.6434,               0.001502,               0.001502,               0.001502
                      7,                 1.8417,                 2.1214,                 2.0329,                 0.7866,                0.21781,                0.24334,                0.13242,                 2.1863,                 16.398,                 2.6634,               0.001469,               0.001469,               0.001469
                      8,                  1.762,                 2.0793,                 1.9919,                0.40724,                0.53993,                0.49203,                0.24074,                 1.7538,                 2.7794,                 2.2304,               0.001436,               0.001436,               0.001436
                      9,                  1.749,                 1.9812,                 1.9839,                0.77418,                0.18052,                0.24853,                0.08878,                 2.4569,                  3.553,                 2.9788,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.7825,                 1.9484,                 2.0063,                0.58739,                0.44358,                0.47675,                0.22966,                 1.8216,                 2.3308,                 2.2545,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.6935,                 1.9516,                 1.9462,                0.40363,                 0.5272,                0.48505,                0.24445,                 1.7001,                 2.0028,                 2.1407,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.7397,                  1.883,                 1.9756,                0.29777,                0.52255,                0.44648,                0.23451,                 1.6961,                 2.2975,                  2.089,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.6912,                 1.8444,                  1.908,                0.43087,                0.57994,                0.53163,                0.26861,                 1.7467,                  1.699,                 2.1546,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.6398,                 1.7689,                 1.8812,                0.54643,                0.64382,                0.64334,                0.32527,                 1.6748,                 1.5304,                 2.0961,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.6836,                 1.8131,                  1.924,                0.43407,                0.67866,                0.56265,                 0.2896,                 1.6602,                  1.543,                 2.0791,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.6481,                 1.7262,                  1.894,                0.45601,                0.71192,                0.66948,                0.35334,                 1.6484,                 1.5648,                 2.1359,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.5993,                  1.705,                 1.8849,                0.49026,                0.73631,                 0.5837,                0.31282,                 1.6303,                 1.7747,                 2.0718,              0.0011389,              0.0011389,              0.0011389
                     18,                   1.62,                 1.6622,                 1.8604,                0.53841,                0.62434,                0.60228,                0.28521,                 1.7363,                 1.6116,                 2.1302,              0.0011059,              0.0011059,              0.0011059
