                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7186,                 6.0853,                 2.1001,                0.00303,                0.81634,                0.06767,                0.02561,                 2.1265,                 5.9211,                 3.3768,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.9024,                 4.6395,                 2.2668,                0.00057,                0.28896,                0.00052,                0.00013,                 3.0482,                 20.717,                  5.951,              0.0010733,              0.0010733,              0.0010733
                      3,                 1.9972,                 3.5923,                 2.3067,                0.03271,                0.06081,                0.01783,                0.00448,                 2.7061,                 7.7229,                 6.0252,              0.0015853,              0.0015853,              0.0015853
                      4,                 1.9645,                 2.8548,                 2.2809,                0.16623,                0.15488,                0.04362,                0.00935,                 2.9715,                 5.2508,                 7.7033,               0.001568,               0.001568,               0.001568
                      5,                 1.9403,                  2.495,                 2.2281,                0.58451,                0.12838,                 0.0668,                0.01927,                 2.4611,                 7.7019,                 3.1632,               0.001535,               0.001535,               0.001535
                      6,                 1.8835,                 2.3799,                 2.1543,                0.65696,                0.13514,                0.10141,                0.05032,                 2.1761,                 14.331,                 3.0552,               0.001502,               0.001502,               0.001502
                      7,                  1.843,                 2.2332,                 2.0983,                0.15104,                 0.0473,                0.04524,                0.01064,                 2.6997,                 6.9675,                 3.0964,               0.001469,               0.001469,               0.001469
                      8,                 1.7355,                 2.0959,                 1.9951,                0.70528,                0.18355,                0.18572,                0.07084,                 2.3415,                 6.2421,                 3.1084,               0.001436,               0.001436,               0.001436
                      9,                 1.8044,                 2.1256,                 2.0871,                0.19694,                0.35574,                0.18701,                0.06825,                 2.2265,                 4.4115,                 2.7082,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.7477,                 2.0812,                 2.0569,                0.54326,                0.59214,                0.57715,                0.28925,                 1.8016,                 2.0914,                 2.3291,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.671,                 1.9849,                 1.9639,                0.49857,                0.55677,                0.48034,                0.24654,                 1.7865,                 2.0466,                 2.2458,              0.0013369,              0.0013369,              0.0013369
