                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6686,                 5.5494,                 2.0896,                 0.2838,                0.45086,                 0.4362,                0.20773,                 1.5555,                 4.3872,                 2.1866,             0.00053932,             0.00053932,             0.00053932
                      2,                  1.499,                 3.2287,                 1.8611,                0.52897,                0.56944,                0.53846,                0.27152,                 1.7081,                 2.1705,                 2.1983,              0.0010841,              0.0010841,              0.0010841
                      3,                 1.5509,                 2.3337,                 1.8766,                0.53137,                 0.5723,                0.58118,                0.31121,                 1.6781,                 1.7891,                 2.1862,               0.001618,               0.001618,               0.001618
                      4,                 1.5601,                 2.0814,                 1.9221,                0.61399,                0.59018,                 0.6121,                0.26373,                 1.7793,                 1.9772,                 2.2707,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5733,                 1.8289,                 1.9025,                0.58137,                0.59503,                0.58592,                0.31952,                 1.6416,                 1.8389,                 2.2341,               0.001601,               0.001601,               0.001601
                      6,                 1.5005,                 1.7429,                 1.8238,                0.61916,                0.67233,                0.65138,                 0.3576,                 1.5159,                  1.331,                  2.043,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4725,                 1.6163,                 1.8021,                0.69189,                0.71262,                0.72531,                 0.3961,                 1.4683,                 1.6722,                 1.9936,               0.001568,               0.001568,               0.001568
                      8,                 1.4136,                 1.5903,                 1.7804,                0.59551,                0.61267,                 0.6725,                0.37108,                 1.6168,                 1.3044,                 2.1888,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4375,                 1.5233,                 1.8132,                0.62525,                0.69165,                0.73357,                0.41859,                 1.4927,                 1.3605,                 1.9608,               0.001535,               0.001535,               0.001535
                     10,                 1.4103,                 1.5252,                 1.8047,                0.64705,                0.71788,                 0.7437,                0.43291,                 1.4738,                 1.2174,                 1.9778,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4134,                 1.5109,                 1.8046,                0.61928,                0.62875,                0.60974,                0.34625,                  1.537,                 1.3452,                 2.0952,               0.001502,               0.001502,               0.001502
                     12,                 1.4155,                 1.4674,                 1.7978,                0.68966,                0.68369,                 0.7156,                0.38024,                 1.5147,                 1.3662,                 2.0087,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4154,                 1.4562,                 1.7821,                 0.7089,                0.69867,                0.73678,                0.40846,                 1.5715,                 1.2286,                 2.1009,               0.001469,               0.001469,               0.001469
                     14,                 1.3289,                 1.3893,                 1.7066,                0.61992,                0.70859,                0.72616,                0.41518,                 1.4377,                 1.2041,                 2.0044,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.3374,                 1.3907,                 1.7548,                0.66269,                0.78387,                0.73152,                0.39608,                 1.5092,                 1.3295,                 2.0507,               0.001436,               0.001436,               0.001436
                     16,                 1.3453,                 1.3211,                 1.7585,                0.60543,                 0.7192,                0.70319,                0.40401,                 1.5612,                 1.2517,                 2.1021,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3214,                 1.3601,                 1.7365,                0.66746,                0.79686,                0.74478,                0.42615,                 1.4886,                 1.2197,                 1.9911,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3214,                 1.2799,                 1.7127,                0.73219,                0.75174,                0.81036,                0.46103,                 1.4403,                 1.0894,                 1.9706,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.3296,                 1.3217,                 1.7393,                0.68274,                0.74546,                0.75362,                0.40802,                 1.5522,                 1.3284,                 2.0691,              0.0013699,              0.0013699,              0.0013699
                     20,                  1.296,                 1.2995,                  1.689,                0.60939,                0.76518,                0.73342,                0.42445,                 1.4468,                 1.1471,                 1.9593,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2721,                 1.2145,                 1.6538,                0.70016,                0.80362,                0.71807,                0.43235,                 1.3957,                 1.0348,                 1.9302,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3017,                 1.2605,                 1.6884,                0.60106,                   0.76,                0.73451,                0.43174,                 1.4462,                 1.2201,                 2.0028,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2507,                 1.2672,                 1.6638,                0.73977,                0.73925,                0.75809,                0.43465,                 1.4711,                 1.1392,                 1.9866,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2625,                 1.1973,                 1.6634,                0.68109,                0.78466,                0.76545,                0.44827,                 1.4374,                 1.0478,                 1.9514,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.2513,                 1.2008,                 1.6757,                0.68707,                0.77928,                0.76148,                0.42265,                 1.4202,                 1.1366,                 1.9261,              0.0012709,              0.0012709,              0.0012709
                     26,                  1.218,                 1.1592,                 1.6087,                0.69198,                 0.7407,                 0.7535,                0.43805,                 1.4649,                 1.0375,                 1.9918,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1969,                 1.1455,                 1.6034,                0.80898,                0.81713,                0.84127,                0.47549,                  1.406,                0.97548,                 1.8986,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.2249,                 1.1384,                 1.6357,                0.73942,                0.80745,                0.79899,                0.48065,                 1.4321,                0.98375,                 1.8952,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1904,                 1.1261,                 1.5896,                0.77645,                0.76866,                0.80916,                0.46247,                 1.4031,                 0.9768,                 1.9566,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1923,                 1.0888,                 1.5817,                0.70892,                0.82107,                0.78425,                0.45146,                 1.4313,                 1.0114,                 1.9438,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.2067,                  1.095,                 1.5828,                0.74494,                0.80414,                0.79735,                0.45721,                 1.4848,                 1.0173,                 2.0147,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.1693,                 1.0887,                 1.5834,                0.65661,                0.76686,                0.75751,                0.43661,                 1.3862,                 1.0975,                 1.9311,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1811,                 1.0715,                 1.5896,                0.78165,                0.78931,                0.80703,                0.47488,                  1.399,                0.93128,                 1.9297,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1503,                 1.0556,                  1.576,                 0.6519,                0.74491,                0.71364,                0.42865,                  1.506,                 1.0662,                 2.0383,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.1744,                 1.1182,                 1.5736,                0.67821,                0.76762,                0.76008,                0.42406,                 1.5173,                 1.0827,                 2.0413,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1377,                 1.0483,                 1.5692,                0.75353,                0.77817,                0.80232,                0.46577,                 1.4544,                 1.0272,                  1.948,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1527,                 1.0503,                 1.5763,                0.76449,                0.72516,                0.77876,                0.47911,                 1.4055,                 1.0096,                 1.9531,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1293,                0.99069,                 1.5641,                0.70152,                0.81116,                0.78792,                0.45373,                 1.4889,                 1.0462,                 2.0256,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0872,                0.96657,                  1.514,                0.67595,                0.81929,                0.76913,                0.45742,                 1.3983,                 1.0125,                 1.8817,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0917,                0.98854,                 1.5158,                0.71567,                0.84231,                0.77923,                0.44536,                 1.4829,                0.94732,                 2.0328,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.1045,                0.98117,                 1.5023,                0.75197,                0.83989,                0.83991,                0.46725,                 1.4251,                 0.8889,                 1.9403,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0497,                0.92654,                 1.4841,                0.73988,                 0.8109,                0.76057,                0.43133,                  1.531,                0.96287,                 2.1631,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1028,                 1.1073,                  1.551,                0.71923,                0.83781,                0.78814,                0.44887,                 1.4817,                0.94945,                 2.1595,             0.00097386,             0.00097386,             0.00097386
