                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6628,                 5.5517,                 2.0843,                0.37595,                0.41629,                0.43843,                0.21583,                 1.5762,                 4.1792,                 2.1416,             0.00053932,             0.00053932,             0.00053932
                      2,                  1.495,                 3.2373,                 1.8229,                 0.5665,                0.60697,                0.54817,                0.29955,                 1.5721,                 2.1919,                  2.141,              0.0010733,              0.0010733,              0.0010733
                      3,                 1.5305,                 2.3769,                 1.8476,                0.43304,                0.53607,                  0.522,                0.26412,                    1.8,                 1.9901,                 2.3567,              0.0015853,              0.0015853,              0.0015853
                      4,                  1.509,                 1.9784,                 1.8269,                0.53513,                0.56162,                0.52777,                 0.2722,                 1.6439,                  1.822,                 2.1455,               0.001568,               0.001568,               0.001568
                      5,                 1.5455,                 1.7961,                  1.856,                0.56238,                0.56552,                0.53113,                 0.2857,                 1.6468,                 1.8062,                 2.1911,               0.001535,               0.001535,               0.001535
                      6,                 1.4918,                 1.7192,                 1.8206,                0.54744,                0.63923,                0.64192,                0.31847,                 1.7124,                 1.6479,                 2.1891,               0.001502,               0.001502,               0.001502
                      7,                 1.4539,                  1.634,                 1.8155,                0.66122,                0.68486,                0.68995,                0.37822,                  1.582,                 1.5026,                 2.0572,               0.001469,               0.001469,               0.001469
                      8,                 1.3961,                 1.5665,                  1.758,                0.60904,                0.67243,                0.67726,                0.36663,                 1.5573,                  1.557,                 2.0405,               0.001436,               0.001436,               0.001436
                      9,                  1.414,                 1.5403,                 1.7623,                0.72182,                 0.7249,                0.76242,                0.40446,                 1.5041,                 1.4329,                 2.0143,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.3826,                 1.5078,                 1.7598,                0.65401,                 0.7844,                0.75341,                0.42929,                 1.4397,                 1.1932,                 1.9265,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.4047,                 1.4737,                  1.761,                0.57521,                0.66567,                 0.6272,                 0.3392,                 1.5281,                 1.2449,                 2.0255,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.3835,                 1.4717,                 1.7556,                0.65705,                0.72506,                 0.7178,                0.41603,                 1.4286,                 1.1683,                  1.936,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.3896,                 1.4618,                 1.7553,                0.60168,                0.76336,                 0.7243,                 0.3998,                 1.5176,                 1.3494,                 2.0402,              0.0012709,              0.0012709,              0.0012709
                     14,                  1.333,                 1.3858,                 1.7057,                0.71299,                0.67798,                0.72339,                0.41227,                 1.4538,                 1.1603,                 1.9421,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.3144,                 1.4144,                  1.725,                0.70187,                0.71144,                0.72356,                0.40965,                 1.4134,                 1.1315,                 1.9596,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.3304,                 1.3176,                 1.7264,                0.60999,                0.72532,                0.70308,                0.44072,                 1.4966,                 1.1278,                 2.0205,              0.0011719,              0.0011719,              0.0011719
