                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7108,                 6.9208,                 2.1234,                0.49783,                 0.3653,                0.38754,                0.18004,                 1.6934,                 4.3063,                 2.2489,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.5376,                 3.5225,                 1.8623,                0.46924,                0.49316,                0.49539,                 0.2568,                 1.5982,                  2.419,                 2.1798,              0.0010733,              0.0010733,              0.0010733
                      3,                 1.5698,                 2.5037,                 1.8828,                0.86077,                0.37162,                0.47173,                0.23799,                 1.7759,                 1.9133,                 2.3454,              0.0015853,              0.0015853,              0.0015853
                      4,                 1.5245,                 2.0962,                 1.8479,                0.50524,                0.46797,                 0.4954,                0.26352,                 1.7876,                 3.5172,                 2.2895,               0.001568,               0.001568,               0.001568
                      5,                 1.5939,                 1.8206,                 1.8823,                0.63176,                0.59221,                0.61449,                0.32571,                 1.6686,                 1.6236,                 2.2046,               0.001535,               0.001535,               0.001535
                      6,                 1.4932,                 1.7933,                  1.814,                0.43218,                0.68971,                0.63374,                0.34172,                  1.607,                 1.6284,                 2.1404,               0.001502,               0.001502,               0.001502
                      7,                 1.4573,                  1.642,                 1.7752,                0.66842,                0.64049,                0.73131,                0.39497,                  1.461,                 2.2481,                 1.9624,               0.001469,               0.001469,               0.001469
                      8,                 1.4273,                 1.5461,                 1.7511,                0.59993,                0.70595,                0.69843,                0.38145,                 1.5631,                  2.026,                 2.0561,               0.001436,               0.001436,               0.001436
                      9,                 1.4172,                 1.5545,                 1.7753,                0.69815,                0.65538,                0.70019,                0.37495,                 1.5311,                 1.4501,                 2.0364,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.4022,                 1.5342,                  1.773,                0.52456,                0.63426,                0.64109,                 0.3762,                  1.404,                  1.298,                 1.8846,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.417,                 1.4916,                 1.7527,                0.52927,                0.83635,                0.68181,                0.40106,                  1.427,                 1.2223,                 1.9281,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.3889,                 1.4622,                 1.7576,                0.73442,                0.65786,                0.74395,                0.41797,                 1.4892,                 1.2217,                 1.9723,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.4088,                 1.5066,                 1.7432,                0.69347,                0.74344,                0.76227,                0.44362,                 1.4432,                  1.099,                 1.9224,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.3423,                 1.3694,                 1.6839,                0.63938,                0.78361,                 0.7426,                0.42105,                 1.4134,                 1.1449,                 1.9394,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.3342,                 1.3992,                 1.7025,                0.74234,                0.76748,                0.80132,                0.44042,                 1.4719,                 1.1329,                 1.9712,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.3034,                 1.3424,                 1.6909,                0.68243,                0.72543,                0.75565,                0.42313,                 1.4924,                 1.1937,                 2.0101,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.2861,                 1.3128,                 1.6991,                0.73093,                0.76314,                0.76652,                0.43302,                 1.4006,                 1.1727,                 1.9318,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.3093,                 1.2668,                 1.6832,                 0.7537,                0.83586,                0.81904,                0.44087,                  1.467,                 1.0498,                  1.963,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.2651,                 1.2506,                 1.6585,                0.70043,                0.78289,                0.78775,                0.45465,                  1.411,                  1.054,                 1.8906,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.2492,                 1.2548,                 1.6168,                0.63088,                 0.7844,                0.75219,                0.43679,                 1.4201,                 1.0612,                 1.9129,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.2401,                 1.1758,                  1.599,                0.68744,                 0.7192,                0.74653,                0.44039,                 1.3998,                 1.0685,                 1.9003,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.2389,                 1.1964,                    1.6,                0.64508,                0.72569,                0.73967,                 0.4187,                 1.4445,                 1.1287,                 1.9967,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.2206,                 1.1959,                 1.5953,                0.72912,                0.79035,                0.81701,                0.46101,                 1.4283,                 1.0504,                 1.9111,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.1806,                 1.1275,                 1.5621,                0.74074,                0.76581,                0.80124,                0.45618,                 1.4002,                 1.0359,                 1.9488,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.1996,                  1.112,                 1.5889,                0.73214,                0.81425,                0.81257,                0.47219,                 1.3192,                0.96477,                 1.8351,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.1569,                 1.0904,                   1.55,                0.78567,                0.80498,                0.82699,                0.47182,                 1.3742,                0.96789,                 1.8889,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.1308,                 1.0615,                  1.549,                 0.7656,                0.77062,                0.79485,                0.43645,                 1.4788,                  1.027,                 2.0196,             0.00080883,             0.00080883,             0.00080883
                     28,                  1.183,                 1.0997,                 1.5856,                0.70558,                0.80309,                0.79218,                0.45573,                 1.4479,                 1.0959,                 1.9513,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.1088,                 1.0746,                 1.5136,                0.79192,                0.80335,                0.82084,                0.48497,                 1.3436,                 0.9722,                 1.8543,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.1218,                0.98146,                 1.5159,                0.71672,                0.74268,                0.78739,                0.45572,                 1.4504,                 1.0028,                 1.9487,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.1157,                 1.0106,                 1.5095,                0.75708,                0.77062,                0.81316,                  0.462,                 1.3879,                 1.0008,                 1.9316,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.0873,                  1.007,                 1.5112,                0.71661,                 0.7779,                0.81031,                0.46942,                 1.3567,                0.99601,                 1.8894,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.1116,                0.98979,                 1.5507,                0.80209,                0.82616,                0.82719,                0.47631,                  1.394,                0.93174,                 1.9381,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.0739,                0.95012,                  1.484,                0.74118,                0.82283,                 0.8149,                0.48282,                 1.3806,                0.92779,                 1.9355,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0646,                0.97979,                 1.4753,                0.69953,                0.83381,                0.81594,                0.47566,                 1.4245,                0.90896,                 1.9587,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0542,                0.93583,                 1.4736,                0.71478,                0.80932,                0.78709,                0.47927,                 1.3718,                0.97346,                 1.9066,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.0513,                0.92147,                 1.4483,                0.72297,                0.82959,                 0.7869,                 0.4654,                 1.4111,                0.91396,                 1.9671,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0191,                0.90441,                 1.4408,                0.69926,                0.78413,                0.78294,                0.45908,                 1.4287,                0.97932,                 1.9654,             0.00044576,             0.00044576,             0.00044576
                     39,                0.98193,                0.86223,                  1.394,                0.78348,                0.76492,                0.81963,                0.46624,                 1.4396,                0.93117,                 1.9512,             0.00041275,             0.00041275,             0.00041275
                     40,                0.99505,                 0.9148,                 1.4173,                0.73619,                 0.8231,                0.82029,                0.48627,                 1.3529,                 0.8822,                 1.9474,             0.00037974,             0.00037974,             0.00037974
                     41,                0.92881,                 0.7247,                 1.4342,                0.78146,                0.76826,                0.76934,                0.46987,                 1.3658,                0.89742,                 1.9625,             0.00034674,             0.00034674,             0.00034674
                     42,                0.93211,                 0.7039,                 1.4592,                0.81498,                0.81687,                0.83989,                0.48066,                 1.4107,                0.90739,                 1.9674,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.8892,                0.65775,                 1.4181,                0.79196,                0.82044,                0.85164,                0.48594,                 1.3879,                0.86329,                 1.9632,             0.00028072,             0.00028072,             0.00028072
                     44,                0.86459,                0.64948,                 1.3923,                0.78358,                0.79686,                0.82841,                0.49468,                 1.3779,                0.89576,                 1.9153,             0.00024772,             0.00024772,             0.00024772
                     45,                0.84498,                0.63591,                 1.3681,                0.79869,                0.78193,                 0.8314,                0.49994,                  1.425,                0.86309,                  1.999,             0.00021471,             0.00021471,             0.00021471
