                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6997,                 3.8568,                 1.5154,                0.60446,                0.55321,                0.53986,                0.26183,                  1.686,                 1.4397,                 1.4926,              0.0033319,              0.0033319,              0.0033319
                      2,                 1.6826,                  1.711,                 1.5315,                0.65362,                0.48801,                0.53243,                0.26269,                 1.7119,                 1.4461,                 1.6328,              0.0063353,              0.0063353,              0.0063353
                      3,                 1.7339,                 1.5831,                 1.6224,                0.59338,                0.51914,                0.53905,                0.26239,                 1.6601,                 1.3875,                 1.6926,              0.0090087,              0.0090087,              0.0090087
                      4,                 1.7219,                 1.5206,                 1.6749,                0.57782,                0.64783,                0.64026,                0.33109,                 1.6281,                 1.2539,                 1.6863,               0.008515,               0.008515,               0.008515
                      5,                  1.667,                 1.4132,                 1.6556,                0.60458,                0.67584,                0.66638,                0.36149,                 1.5987,                 1.2092,                 1.6856,                0.00802,                0.00802,                0.00802
                      6,                 1.6334,                 1.3514,                 1.6403,                0.70035,                0.62953,                0.69206,                0.38274,                 1.5729,                 1.1551,                 1.6733,               0.007525,               0.007525,               0.007525
                      7,                 1.6051,                 1.3006,                 1.6221,                 0.6901,                0.70606,                0.71815,                0.40112,                  1.542,                 1.1238,                 1.6596,                0.00703,                0.00703,                0.00703
                      8,                 1.5918,                   1.26,                 1.6111,                0.65925,                0.73822,                 0.7337,                0.41571,                 1.5295,                 1.0883,                 1.6337,               0.006535,               0.006535,               0.006535
                      9,                 1.5655,                  1.238,                 1.5903,                0.70544,                0.71072,                0.74453,                0.42168,                  1.515,                 1.0811,                 1.6262,                0.00604,                0.00604,                0.00604
                     10,                 1.5561,                 1.2212,                  1.588,                 0.7009,                0.75032,                0.76091,                0.44069,                 1.4977,                  1.037,                   1.62,               0.005545,               0.005545,               0.005545
                     11,                  1.566,                 1.1772,                 1.6467,                0.73325,                0.72159,                0.76889,                 0.4547,                 1.4868,                 1.0346,                 1.6153,                0.00505,                0.00505,                0.00505
                     12,                 1.5529,                 1.1539,                 1.6401,                0.75555,                0.74139,                0.78559,                0.46777,                 1.4795,                 1.0218,                 1.6159,               0.004555,               0.004555,               0.004555
                     13,                 1.5369,                 1.1294,                  1.622,                0.75126,                0.74934,                0.79259,                0.47724,                 1.4728,                 1.0004,                 1.6033,                0.00406,                0.00406,                0.00406
                     14,                 1.5267,                 1.1114,                 1.6183,                0.76453,                0.75587,                0.80038,                0.48254,                 1.4642,                0.99499,                 1.5993,               0.003565,               0.003565,               0.003565
