                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8059,                 3.8955,                 1.6425,                0.42084,                 0.4559,                0.38275,                 0.1644,                 2.0177,                 2.6004,                 1.9383,             0.00030237,             0.00030237,             0.00030237
                      2,                  1.828,                 2.1946,                 1.6634,                  0.442,                0.56965,                0.48685,                0.22546,                  1.804,                 1.8358,                 1.7288,              0.0005754,              0.0005754,              0.0005754
                      3,                 1.8017,                  1.927,                 1.6592,                0.52029,                0.55827,                0.52944,                0.25448,                 1.7959,                 1.7736,                 1.7263,             0.00081844,             0.00081844,             0.00081844
                      4,                 1.7461,                 1.7571,                 1.6211,                0.55704,                0.62417,                0.59243,                0.30042,                 1.7062,                 1.5786,                  1.636,             0.00077401,             0.00077401,             0.00077401
                      5,                  1.702,                 1.6543,                  1.598,                 0.6506,                0.67135,                0.68952,                0.36332,                 1.6724,                 1.4164,                 1.6018,             0.00072902,             0.00072902,             0.00072902
                      6,                 1.6492,                 1.5457,                 1.5677,                0.62597,                0.66801,                0.66969,                0.34781,                  1.647,                 1.3966,                 1.5873,             0.00068402,             0.00068402,             0.00068402
                      7,                 1.6187,                 1.4833,                 1.5624,                0.65489,                0.70281,                 0.7186,                0.39864,                 1.5908,                 1.3318,                 1.5786,             0.00063903,             0.00063903,             0.00063903
                      8,                 1.5816,                 1.4234,                 1.5297,                0.64848,                0.71523,                0.72612,                0.39806,                 1.6081,                 1.3061,                  1.592,             0.00059403,             0.00059403,             0.00059403
                      9,                 1.5653,                 1.4032,                 1.5208,                0.68893,                0.73531,                0.74551,                0.40158,                 1.6158,                  1.274,                 1.5766,             0.00054904,             0.00054904,             0.00054904
                     10,                 1.5445,                 1.3566,                  1.509,                0.70414,                0.72623,                0.74945,                0.41318,                 1.5762,                 1.2466,                 1.5689,             0.00050404,             0.00050404,             0.00050404
                     11,                 1.5764,                 1.3201,                  1.555,                0.74194,                0.72265,                0.76644,                0.42499,                 1.5831,                 1.1968,                 1.5552,             0.00045904,             0.00045904,             0.00045904
                     12,                 1.5511,                 1.2807,                 1.5432,                0.73106,                0.73997,                 0.7756,                 0.4304,                 1.5798,                 1.1949,                 1.5674,             0.00041405,             0.00041405,             0.00041405
                     13,                 1.5428,                 1.2481,                  1.535,                0.71769,                0.73782,                0.77094,                 0.4369,                   1.56,                 1.1915,                 1.5555,             0.00036905,             0.00036905,             0.00036905
                     14,                 1.5275,                 1.2256,                 1.5248,                0.71927,                0.75899,                0.78396,                 0.4401,                 1.5641,                   1.16,                 1.5554,             0.00032406,             0.00032406,             0.00032406
                     15,                 1.5035,                 1.1934,                 1.5068,                0.74593,                0.74023,                0.79492,                0.46293,                 1.5154,                 1.1241,                 1.5118,             0.00027906,             0.00027906,             0.00027906
                     16,                 1.4858,                 1.1526,                 1.4928,                0.74422,                0.75898,                0.79712,                0.45116,                 1.5339,                 1.1198,                 1.5239,             0.00023407,             0.00023407,             0.00023407
                     17,                 1.4616,                 1.1284,                 1.4776,                0.76481,                0.77351,                0.81734,                0.48239,                 1.4894,                 1.0564,                 1.5034,             0.00018907,             0.00018907,             0.00018907
                     18,                 1.4225,                 1.0894,                 1.4539,                0.75566,                0.77946,                0.81462,                 0.4752,                 1.4876,                 1.0578,                 1.4976,             0.00014408,             0.00014408,             0.00014408
                     19,                 1.4049,                 1.0677,                 1.4453,                0.76484,                0.78616,                0.82703,                0.48823,                 1.4786,                 1.0491,                 1.4887,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                 1.3803,                 1.0237,                 1.4218,                0.77167,                0.78757,                0.82223,                0.48762,                 1.4749,                 1.0173,                 1.4839,             5.4086e-05,             5.4086e-05,             5.4086e-05
