                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7684,                 4.4635,                 1.4815,                0.54292,                 0.5803,                0.47401,                0.23172,                 1.6631,                 1.7861,                 1.4248,               0.003333,               0.003333,               0.003333
                      2,                 1.7401,                 1.8493,                 1.4786,                 0.6077,                0.52416,                0.50923,                0.25783,                 1.6207,                 1.3983,                  1.448,              0.0063363,              0.0063363,              0.0063363
                      3,                  1.781,                  1.727,                 1.5588,                0.59431,                0.51023,                0.53497,                0.26113,                 1.6594,                 1.3901,                 1.5749,              0.0090097,              0.0090097,              0.0090097
                      4,                 1.7773,                 1.6536,                 1.6041,                0.56268,                0.62435,                 0.5961,                0.30428,                 1.6195,                 1.3002,                 1.5226,               0.008515,               0.008515,               0.008515
                      5,                 1.7119,                 1.5486,                 1.5758,                0.64855,                0.59669,                0.62184,                0.32857,                 1.5817,                 1.2821,                 1.5178,                0.00802,                0.00802,                0.00802
                      1,                 1.7511,                  4.281,                  1.461,                0.65518,                0.53186,                0.53871,                0.25714,                 1.6454,                 1.4439,                 1.3947,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.6651,                 1.7157,                 1.4025,                0.51256,                0.50427,                0.48972,                0.23271,                 1.6776,                 1.4895,                 1.4645,               0.006334,               0.006334,               0.006334
                      3,                 1.7061,                 1.5436,                 1.4574,                0.40321,                0.56538,                 0.4624,                0.21118,                 1.8086,                 2.4163,                 1.6078,              0.0090075,              0.0090075,              0.0090075
                      4,                 1.7251,                 1.4981,                 1.5312,                0.56724,                 0.5843,                0.58897,                0.28224,                 1.8169,                 1.4658,                  1.706,               0.008515,               0.008515,               0.008515
                      5,                 1.6659,                 1.3979,                 1.5132,                0.61162,                0.62498,                0.62984,                0.32849,                 1.6355,                 1.2188,                  1.547,                0.00802,                0.00802,                0.00802
                      6,                 1.6246,                 1.3217,                 1.4935,                0.64738,                0.65957,                0.67608,                0.36793,                 1.6262,                 1.1879,                 1.5395,               0.007525,               0.007525,               0.007525
                      7,                 1.6119,                 1.2873,                 1.4846,                0.70794,                0.69355,                0.73638,                0.39761,                 1.5644,                 1.1196,                 1.5033,                0.00703,                0.00703,                0.00703
                      8,                 1.5893,                 1.2542,                 1.4705,                0.68611,                0.71723,                0.74416,                0.40885,                 1.5563,                 1.0819,                 1.4931,               0.006535,               0.006535,               0.006535
                      9,                 1.5743,                 1.2284,                 1.4599,                0.72686,                0.69809,                  0.746,                   0.42,                 1.5557,                 1.0616,                 1.4703,                0.00604,                0.00604,                0.00604
                     10,                  1.555,                 1.2078,                 1.4496,                0.70719,                0.73618,                0.76045,                0.43232,                 1.5259,                 1.0488,                 1.4785,               0.005545,               0.005545,               0.005545
                     11,                 1.5826,                 1.1863,                 1.5148,                0.73622,                 0.7307,                 0.7678,                0.44467,                 1.5094,                 1.0287,                 1.4711,                0.00505,                0.00505,                0.00505
                     12,                 1.5637,                 1.1488,                  1.499,                0.72596,                0.74508,                0.76088,                0.44476,                  1.507,                 1.0319,                 1.4662,               0.004555,               0.004555,               0.004555
                     13,                 1.5498,                  1.134,                 1.4946,                0.73683,                0.74944,                 0.7835,                 0.4607,                 1.4952,                 1.0065,                  1.464,                0.00406,                0.00406,                0.00406
                     14,                 1.5362,                 1.1087,                 1.4823,                0.75897,                0.74185,                 0.7832,                0.46391,                 1.4932,                0.99358,                  1.457,               0.003565,               0.003565,               0.003565
                     15,                  1.525,                 1.0921,                 1.4714,                0.73686,                0.75803,                0.79236,                0.47116,                 1.4833,                0.98645,                 1.4553,                0.00307,                0.00307,                0.00307
                     16,                 1.5091,                 1.0687,                 1.4677,                 0.7444,                0.75209,                0.79105,                0.47486,                 1.4869,                0.96468,                 1.4587,               0.002575,               0.002575,               0.002575
                     17,                 1.4983,                 1.0429,                 1.4537,                0.75162,                 0.7639,                0.79953,                0.47758,                  1.483,                 0.9561,                 1.4455,                0.00208,                0.00208,                0.00208
                     18,                 1.4816,                 1.0234,                 1.4415,                0.77257,                0.74091,                0.80041,                0.48362,                 1.4818,                0.95063,                 1.4458,               0.001585,               0.001585,               0.001585
                     19,                 1.4632,                 1.0019,                 1.4308,                0.74888,                0.77416,                0.80386,                0.48552,                  1.481,                0.94781,                 1.4469,                0.00109,                0.00109,                0.00109
                     20,                 1.4509,                0.97737,                 1.4215,                0.74739,                0.77662,                0.80345,                0.48582,                 1.4781,                0.94444,                 1.4442,               0.000595,               0.000595,               0.000595
