                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7458,                 4.2887,                 1.4697,                 0.6311,                0.49465,                0.49287,                0.23488,                 1.7292,                 1.5942,                 1.4556,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.6637,                 1.7258,                 1.4123,                0.51559,                 0.5041,                0.47393,                0.21505,                 1.7773,                 1.5172,                 1.5277,              0.0066309,              0.0066309,              0.0066309
                      3,                  1.717,                 1.5523,                 1.4752,                0.46033,                0.54006,                0.48431,                0.23211,                 1.8173,                 1.4707,                  1.679,              0.0098982,              0.0098982,              0.0098982
                      4,                 1.7376,                 1.5168,                 1.5514,                0.59202,                0.56628,                0.58648,                0.27761,                 1.8629,                 1.9519,                 1.7268,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6825,                 1.4166,                  1.537,                0.56773,                0.65309,                0.63127,                0.32718,                 1.6388,                 1.2451,                 1.5492,               0.009802,               0.009802,               0.009802
                      6,                 1.6424,                 1.3428,                 1.5147,                0.63442,                0.67295,                0.68055,                0.35976,                 1.6241,                 1.1706,                  1.545,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6323,                 1.3146,                 1.5117,                0.66153,                0.67937,                 0.7133,                0.38028,                 1.6003,                 1.1532,                 1.5314,               0.009703,               0.009703,               0.009703
                      8,                 1.6137,                 1.2903,                 1.5064,                0.66526,                0.70882,                0.72381,                0.39263,                 1.5621,                 1.0898,                 1.5152,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6009,                 1.2709,                 1.4951,                0.69201,                  0.714,                0.73213,                0.40789,                 1.5494,                 1.0998,                 1.5011,               0.009604,               0.009604,               0.009604
                     10,                 1.5878,                 1.2565,                 1.4852,                0.68842,                0.72738,                0.73756,                0.41469,                 1.5429,                 1.0773,                 1.5075,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5841,                  1.232,                 1.4829,                0.69812,                0.74352,                0.75566,                0.42861,                 1.5279,                 1.0322,                 1.4901,               0.009505,               0.009505,               0.009505
                     12,                 1.5706,                 1.2265,                 1.4832,                0.69984,                0.73573,                0.75758,                0.44083,                 1.5173,                 1.0369,                 1.4832,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5653,                 1.2124,                 1.4707,                0.72898,                0.73065,                0.76894,                0.44026,                 1.5229,                 1.0166,                 1.4733,               0.009406,               0.009406,               0.009406
                      1,                  1.745,                 4.2691,                 1.4743,                0.53768,                 0.4283,                0.38901,                0.17783,                 1.7935,                 1.9621,                 1.5116,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.6676,                 1.7185,                 1.4141,                0.59197,                0.56771,                0.56914,                0.27871,                 1.6955,                 1.4206,                 1.4959,              0.0066309,              0.0066309,              0.0066309
                      3,                 1.7151,                 1.5534,                 1.4827,                0.46415,                0.53049,                0.46637,                0.22574,                 1.7224,                 1.4875,                 1.6381,              0.0098982,              0.0098982,              0.0098982
                      4,                 1.7339,                 1.5139,                  1.556,                0.55657,                 0.5749,                 0.5865,                0.29002,                 1.7035,                 1.3976,                 1.5878,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6808,                 1.4119,                 1.5455,                0.49126,                0.65644,                0.60114,                0.31352,                 1.6286,                 1.2232,                 1.5453,               0.009802,               0.009802,               0.009802
                      6,                 1.6452,                 1.3447,                 1.5279,                 0.6015,                0.65769,                0.65704,                0.34925,                 1.6129,                 1.1478,                 1.5635,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6327,                  1.315,                 1.5164,                0.65294,                0.66359,                0.69025,                0.36887,                 1.6177,                 1.1721,                 1.5527,               0.009703,               0.009703,               0.009703
                      8,                 1.6121,                  1.292,                 1.5076,                0.68871,                0.68976,                0.72034,                0.38837,                 1.5592,                 1.1206,                 1.5227,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.602,                 1.2712,                 1.4999,                0.68976,                0.68101,                0.71634,                0.39464,                 1.5755,                  1.119,                 1.5178,               0.009604,               0.009604,               0.009604
                     10,                 1.5891,                 1.2562,                 1.4915,                0.69307,                0.72503,                0.74728,                0.41272,                 1.5531,                 1.0696,                 1.4937,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5826,                 1.2357,                 1.4884,                0.69427,                0.73944,                0.76226,                0.42775,                 1.5383,                  1.035,                 1.4764,               0.009505,               0.009505,               0.009505
                     12,                 1.5715,                 1.2242,                 1.4808,                 0.6936,                 0.7397,                 0.7568,                0.42882,                 1.5311,                 1.0373,                 1.4835,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5674,                 1.2123,                 1.4817,                 0.7124,                0.74787,                0.76978,                0.43843,                 1.5189,                 1.0248,                 1.4854,               0.009406,               0.009406,               0.009406
                     14,                 1.5638,                 1.2102,                 1.4741,                0.71303,                0.74721,                0.76916,                0.44245,                  1.508,                 1.0113,                 1.4802,              0.0093565,              0.0093565,              0.0093565
