                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7991,                 4.5393,                 1.5764,                0.52009,                0.55907,                0.52878,                0.24173,                 1.8421,                 2.0378,                 1.6493,             0.00030174,             0.00030174,             0.00030174
                      2,                 1.7773,                 2.3744,                  1.551,                0.56051,                0.60878,                 0.6196,                 0.3017,                  1.753,                 1.6892,                 1.6074,              0.0005748,              0.0005748,              0.0005748
                      3,                 1.7258,                 1.8466,                 1.5369,                0.56454,                0.60055,                0.60244,                0.29362,                 1.7642,                 1.7218,                 1.6059,             0.00081787,             0.00081787,             0.00081787
                      4,                 1.6981,                  1.704,                 1.5244,                0.61391,                0.59267,                0.60831,                0.28869,                  1.861,                 1.6133,                 1.6543,             0.00077401,             0.00077401,             0.00077401
                      5,                 1.6615,                 1.5811,                 1.4999,                0.54592,                0.65299,                0.62683,                0.31969,                 1.6681,                 1.5171,                 1.5292,             0.00072902,             0.00072902,             0.00072902
                      6,                 1.6212,                 1.5149,                 1.4784,                0.68681,                0.66631,                0.71806,                0.37862,                  1.654,                 1.3908,                 1.5135,             0.00068402,             0.00068402,             0.00068402
                      7,                 1.5973,                 1.4569,                 1.4642,                0.65368,                0.68311,                0.69681,                0.35585,                 1.6869,                 1.4625,                 1.5538,             0.00063903,             0.00063903,             0.00063903
                      8,                 1.5693,                 1.4102,                 1.4402,                0.69615,                0.71048,                 0.7422,                0.39762,                 1.6176,                 1.2858,                 1.4777,             0.00059403,             0.00059403,             0.00059403
                      9,                 1.5349,                 1.3549,                 1.4187,                0.62613,                0.71031,                 0.7033,                0.38337,                 1.6583,                 1.2925,                 1.4933,             0.00054904,             0.00054904,             0.00054904
                     10,                 1.5353,                 1.3353,                 1.4259,                 0.7047,                0.73573,                0.76535,                0.41907,                 1.5726,                 1.1939,                  1.441,             0.00050404,             0.00050404,             0.00050404
                     11,                 1.5625,                 1.3091,                 1.4779,                 0.7231,                 0.7047,                0.73997,                0.40179,                 1.6226,                 1.2461,                 1.4878,             0.00045904,             0.00045904,             0.00045904
                     12,                 1.5276,                 1.2604,                 1.4554,                0.71235,                0.75385,                0.78004,                0.43759,                 1.5894,                 1.1678,                 1.4616,             0.00041405,             0.00041405,             0.00041405
                     13,                 1.5251,                 1.2286,                 1.4505,                0.75323,                0.73553,                0.77714,                0.44386,                 1.5445,                 1.1688,                 1.4443,             0.00036905,             0.00036905,             0.00036905
                     14,                 1.5036,                 1.2017,                 1.4406,                0.76306,                0.74354,                0.79382,                0.45543,                 1.5228,                 1.1073,                 1.4281,             0.00032406,             0.00032406,             0.00032406
                     15,                 1.4886,                  1.162,                 1.4326,                0.76363,                0.74724,                0.79698,                0.45526,                 1.5136,                 1.0916,                 1.4307,             0.00027906,             0.00027906,             0.00027906
                     16,                 1.4609,                 1.1339,                 1.4108,                0.74982,                0.74508,                 0.8044,                0.46342,                  1.533,                 1.0746,                  1.422,             0.00023407,             0.00023407,             0.00023407
                     17,                 1.4355,                 1.1081,                 1.3955,                0.77924,                0.77544,                0.81879,                 0.4746,                 1.4956,                 1.0518,                 1.4074,             0.00018907,             0.00018907,             0.00018907
                     18,                 1.4127,                 1.0763,                 1.3771,                 0.7606,                0.77651,                0.81602,                0.47622,                 1.4748,                 1.0341,                 1.4035,             0.00014408,             0.00014408,             0.00014408
                     19,                 1.3992,                 1.0509,                 1.3665,                0.75091,                0.79494,                0.82886,                0.49016,                 1.4649,                 1.0045,                 1.3817,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                 1.3664,                 1.0118,                 1.3428,                0.78985,                0.76958,                 0.8221,                0.49122,                 1.4727,                0.98671,                 1.3902,             5.4086e-05,             5.4086e-05,             5.4086e-05
