                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8237,                 5.4236,                 1.6338,                0.40505,                0.41705,                0.32829,                0.15279,                 1.9013,                 2.4677,                 1.6467,              0.0033194,              0.0033194,              0.0033194
                      2,                 1.7381,                 3.2059,                 1.4605,                0.45311,                0.43895,                0.41972,                0.17601,                 1.9603,                 2.1699,                 1.6309,              0.0066198,              0.0066198,              0.0066198
                      3,                 1.7758,                 2.2949,                 1.5054,                0.47752,                0.32346,                 0.3029,                0.12545,                 1.9984,                 4.2712,                  1.882,              0.0098872,              0.0098872,              0.0098872
                      4,                 1.8346,                 1.9996,                 1.5606,                0.40412,                0.06038,                0.12534,                0.05559,                 2.7315,                  4.869,                 2.7051,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7828,                 1.8299,                 1.5536,                0.50917,                0.53176,                0.50817,                0.25037,                 1.8579,                 1.8526,                 1.6811,               0.009802,               0.009802,               0.009802
                      6,                 1.7244,                  1.711,                 1.5203,                0.48279,                0.57461,                0.52705,                0.25422,                 1.8744,                 1.9829,                 1.7047,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7035,                 1.6448,                 1.5203,                0.59441,                0.66632,                0.65769,                0.33096,                 1.7696,                 1.5268,                 1.6068,               0.009703,               0.009703,               0.009703
                      8,                 1.6837,                 1.5925,                 1.5094,                0.60321,                 0.6466,                0.67098,                 0.3409,                 1.7698,                 1.4735,                 1.5843,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6553,                 1.5345,                 1.4987,                0.59186,                0.57549,                0.58876,                0.28584,                 1.8001,                 1.6849,                 1.5968,               0.009604,               0.009604,               0.009604
                     10,                 1.6574,                 1.5242,                 1.5045,                0.60598,                0.64994,                0.65709,                0.32783,                 1.7976,                  1.461,                 1.6092,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6239,                  1.479,                 1.4799,                 0.6756,                0.68393,                0.72314,                0.37363,                 1.6646,                 1.3488,                 1.5433,               0.009505,               0.009505,               0.009505
                     12,                 1.6122,                 1.4475,                 1.4746,                0.64685,                 0.6782,                0.70328,                0.36943,                 1.6855,                 1.3419,                  1.543,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6021,                 1.4387,                 1.4751,                0.60854,                0.68836,                0.68044,                0.36609,                 1.6361,                  1.402,                  1.537,               0.009406,               0.009406,               0.009406
                     14,                 1.5818,                 1.4143,                  1.466,                0.74259,                0.67063,                0.74034,                0.40598,                 1.6014,                 1.2666,                 1.4937,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5826,                 1.3917,                 1.4506,                0.67421,                0.65863,                0.70001,                0.37942,                 1.6465,                 1.3323,                 1.5387,               0.009307,               0.009307,               0.009307
                     16,                 1.5589,                  1.377,                 1.4571,                0.66711,                0.69086,                 0.7185,                0.39504,                 1.6325,                 1.2715,                 1.5209,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.5592,                 1.3605,                 1.4413,                0.72077,                0.71948,                 0.7422,                0.41208,                 1.5946,                  1.236,                 1.4959,               0.009208,               0.009208,               0.009208
                     18,                 1.5437,                 1.3454,                 1.4306,                  0.673,                0.67952,                0.72276,                0.40244,                 1.5879,                 1.2934,                 1.5076,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5456,                 1.3185,                 1.4348,                0.69966,                0.66963,                0.69447,                0.36082,                 1.7443,                 1.3805,                 1.5782,               0.009109,               0.009109,               0.009109
                     20,                  1.538,                 1.3274,                 1.4277,                0.70788,                0.71519,                0.75833,                0.41904,                 1.6088,                 1.2008,                 1.5061,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5351,                 1.3142,                 1.4277,                0.69791,                0.73996,                0.76766,                0.43705,                 1.5756,                 1.1763,                 1.4834,                0.00901,                0.00901,                0.00901
                     22,                 1.5229,                 1.3027,                 1.4311,                0.73646,                0.72289,                0.77339,                0.43519,                  1.578,                 1.1784,                 1.4656,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5192,                 1.2986,                 1.4205,                0.72752,                 0.7267,                0.77239,                0.43971,                 1.5497,                 1.1805,                 1.4763,               0.008911,               0.008911,               0.008911
                     24,                 1.5074,                 1.2813,                 1.4189,                0.72307,                0.72711,                0.77807,                0.43901,                  1.571,                 1.1403,                 1.4647,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5145,                 1.2662,                 1.4185,                0.74148,                0.75374,                0.80437,                0.44709,                 1.5615,                 1.1104,                 1.4664,               0.008812,               0.008812,               0.008812
                     26,                 1.5089,                 1.2605,                  1.408,                0.75555,                0.73091,                0.80087,                0.44066,                 1.5615,                 1.1287,                 1.4627,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4902,                 1.2565,                 1.3968,                0.74772,                0.71102,                0.77762,                0.44003,                 1.5558,                 1.1605,                 1.4454,               0.008713,               0.008713,               0.008713
                     28,                 1.4888,                 1.2354,                 1.3935,                0.76315,                0.71512,                0.78635,                0.45203,                 1.5458,                 1.1429,                 1.4489,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4842,                 1.2311,                 1.3944,                0.77521,                0.74806,                0.81251,                0.46876,                 1.5188,                 1.1054,                 1.4295,               0.008614,               0.008614,               0.008614
                     30,                 1.4818,                 1.2254,                 1.3956,                0.73008,                  0.757,                 0.7918,                0.44887,                 1.5542,                 1.1037,                 1.4595,              0.0085645,              0.0085645,              0.0085645
                     31,                  1.476,                 1.2109,                 1.3977,                0.73524,                0.76215,                0.79492,                0.45425,                 1.5446,                 1.1199,                 1.4503,               0.008515,               0.008515,               0.008515
                     32,                 1.4598,                 1.2173,                  1.391,                0.74895,                 0.7495,                0.80182,                0.45823,                 1.5442,                 1.0825,                 1.4492,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.4622,                 1.2041,                 1.3902,                0.76063,                0.78329,                0.80996,                0.47283,                 1.5197,                 1.0681,                 1.4357,               0.008416,               0.008416,               0.008416
                     34,                 1.4554,                  1.194,                 1.3847,                0.76784,                0.73531,                0.80797,                0.45679,                 1.5417,                 1.0843,                 1.4503,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4463,                 1.1787,                 1.3762,                0.74786,                0.76124,                0.80628,                0.46302,                  1.521,                 1.0963,                 1.4361,               0.008317,               0.008317,               0.008317
                     36,                 1.4581,                 1.1806,                 1.3801,                0.76547,                0.75525,                0.80832,                0.45834,                 1.5253,                 1.0724,                 1.4482,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4449,                  1.172,                 1.3729,                0.77974,                 0.7421,                0.80496,                0.46732,                 1.5251,                 1.0371,                 1.4413,               0.008218,               0.008218,               0.008218
                     38,                 1.4422,                 1.1737,                 1.3747,                0.78427,                 0.7523,                0.81046,                0.47198,                 1.4968,                 1.0423,                 1.4228,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4424,                 1.1615,                 1.3752,                0.80373,                0.73582,                0.80881,                0.46748,                 1.5114,                 1.0459,                   1.44,               0.008119,               0.008119,               0.008119
                     40,                 1.4372,                 1.1455,                 1.3608,                0.77368,                0.74945,                0.80272,                0.47248,                  1.515,                 1.0462,                 1.4302,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4368,                 1.1456,                 1.3627,                0.78021,                0.77569,                0.81823,                0.47567,                 1.5223,                 1.0302,                 1.4347,                0.00802,                0.00802,                0.00802
                     42,                  1.431,                 1.1411,                 1.3725,                0.78326,                0.75819,                0.82056,                0.47765,                 1.5006,                 1.0159,                 1.4288,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4273,                 1.1173,                 1.3611,                0.76305,                0.77438,                0.82665,                0.47316,                 1.5182,                 1.0224,                 1.4301,               0.007921,               0.007921,               0.007921
                     44,                 1.4106,                 1.1168,                 1.3564,                0.76012,                0.78755,                0.81866,                 0.4791,                 1.5063,                 1.0114,                  1.432,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4171,                 1.1279,                 1.3534,                 0.7766,                0.78737,                0.82739,                0.48069,                 1.4999,                  1.007,                 1.4225,               0.007822,               0.007822,               0.007822
                     46,                  1.413,                  1.116,                  1.358,                0.79246,                0.75332,                0.81742,                0.47814,                 1.4821,                0.99784,                 1.4087,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4004,                 1.1185,                 1.3497,                0.78022,                0.76539,                0.81992,                0.47754,                 1.4943,                  1.006,                 1.4287,               0.007723,               0.007723,               0.007723
                     48,                 1.4076,                 1.1008,                 1.3516,                0.77475,                0.79154,                0.82463,                0.48394,                 1.5049,                0.98312,                 1.4231,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4035,                 1.0832,                 1.3421,                0.82769,                0.75692,                0.82742,                0.48171,                 1.5217,                 0.9896,                 1.4432,               0.007624,               0.007624,               0.007624
