                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7992,                 4.5708,                 1.5767,                0.49932,                0.53897,                0.49375,                0.21525,                 1.8341,                 2.1259,                 1.6593,             0.00030174,             0.00030174,             0.00030174
                      2,                 1.7619,                 2.3745,                  1.552,                 0.5267,                0.57512,                0.55753,                0.25728,                 1.8135,                 1.7583,                 1.6516,             0.00059276,             0.00059276,             0.00059276
                      3,                 1.7372,                 1.8373,                 1.5546,                 0.5449,                0.58629,                0.56493,                0.28024,                 1.7919,                 1.8764,                 1.6744,             0.00087179,             0.00087179,             0.00087179
                      4,                 1.7162,                 1.7184,                 1.5381,                 0.6279,                0.59196,                  0.596,                0.29491,                 1.7845,                  1.614,                  1.605,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.6872,                 1.6247,                  1.522,                0.61598,                  0.669,                0.68765,                 0.3535,                 1.7067,                 1.4193,                 1.5378,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.6498,                  1.538,                 1.4984,                0.67556,                0.68322,                0.72051,                0.38275,                 1.6468,                    1.4,                 1.5068,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.6196,                 1.4895,                 1.4783,                0.65352,                0.68039,                0.69673,                0.35348,                 1.7039,                 1.3982,                 1.5697,             0.00080101,             0.00080101,             0.00080101
                      8,                    1.6,                 1.4452,                 1.4667,                0.67417,                0.68543,                0.72063,                 0.3891,                 1.6823,                 1.3219,                 1.5496,             0.00078301,             0.00078301,             0.00078301
                      9,                 1.5718,                 1.4099,                 1.4594,                 0.6139,                0.65385,                0.64254,                0.34992,                 1.6537,                 1.4129,                 1.5261,             0.00076501,             0.00076501,             0.00076501
                     10,                   1.58,                 1.3898,                 1.4525,                0.67722,                0.70479,                0.71476,                0.38149,                 1.6997,                 1.3078,                 1.5219,             0.00074702,             0.00074702,             0.00074702
                     11,                 1.5462,                 1.3606,                 1.4428,                0.69728,                0.66751,                0.72138,                0.38558,                 1.6417,                 1.3167,                 1.5302,             0.00072902,             0.00072902,             0.00072902
                     12,                 1.5392,                 1.3135,                 1.4365,                 0.7088,                0.70705,                0.75208,                0.41599,                 1.6314,                 1.2295,                  1.509,             0.00071102,             0.00071102,             0.00071102
                     13,                 1.5277,                 1.3036,                 1.4329,                0.72062,                0.71766,                0.77004,                0.42429,                 1.5745,                 1.2601,                 1.4788,             0.00069302,             0.00069302,             0.00069302
                     14,                  1.521,                 1.2929,                 1.4344,                0.71399,                0.73326,                0.76724,                 0.4447,                 1.5476,                 1.1686,                 1.4694,             0.00067502,             0.00067502,             0.00067502
                     15,                 1.5128,                 1.2706,                 1.4138,                0.68074,                0.72561,                 0.7575,                0.42273,                 1.5881,                 1.1649,                  1.474,             0.00065703,             0.00065703,             0.00065703
                     16,                 1.4923,                 1.2569,                 1.4089,                0.70795,                0.71537,                0.75856,                0.42389,                 1.5698,                 1.1685,                 1.4539,             0.00063903,             0.00063903,             0.00063903
                     17,                 1.4848,                 1.2344,                 1.3973,                0.73007,                0.71736,                 0.7748,                0.43701,                 1.5591,                 1.1397,                 1.4459,             0.00062103,             0.00062103,             0.00062103
                     18,                 1.4706,                 1.2217,                 1.3909,                0.73551,                0.73613,                0.78093,                0.44485,                 1.5832,                 1.1522,                 1.4855,             0.00060303,             0.00060303,             0.00060303
                     19,                 1.4725,                 1.1929,                 1.3859,                0.75263,                0.73722,                0.79097,                0.44679,                 1.5437,                  1.107,                 1.4487,             0.00058503,             0.00058503,             0.00058503
                     20,                 1.4605,                 1.2015,                 1.3812,                0.76552,                0.71141,                0.77957,                0.44971,                 1.5497,                  1.134,                 1.4712,             0.00056703,             0.00056703,             0.00056703
                     21,                 1.4562,                 1.1809,                 1.3811,                0.72069,                0.76292,                0.79388,                0.45084,                  1.527,                 1.0922,                 1.4411,             0.00054904,             0.00054904,             0.00054904
                     22,                 1.4392,                 1.1833,                 1.3814,                0.75498,                0.72867,                0.78774,                0.45666,                  1.513,                 1.1208,                 1.4404,             0.00053104,             0.00053104,             0.00053104
                     23,                 1.4327,                 1.1687,                 1.3712,                0.75543,                0.74275,                0.79592,                0.45971,                 1.5172,                 1.0693,                 1.4334,             0.00051304,             0.00051304,             0.00051304
                     24,                 1.4179,                 1.1482,                  1.357,                0.74944,                0.74298,                0.78909,                0.45185,                 1.5351,                 1.0913,                 1.4515,             0.00049504,             0.00049504,             0.00049504
                     25,                 1.4209,                 1.1371,                   1.36,                0.74633,                0.76532,                0.80804,                0.46202,                 1.5436,                 1.0586,                  1.434,             0.00047704,             0.00047704,             0.00047704
                     26,                 1.4184,                 1.1173,                 1.3542,                0.76402,                0.76563,                0.81025,                0.46579,                  1.528,                 1.0565,                 1.4326,             0.00045904,             0.00045904,             0.00045904
                     27,                 1.3996,                  1.118,                 1.3441,                0.75265,                 0.7441,                0.80444,                0.46987,                 1.4908,                 1.0518,                 1.4056,             0.00044105,             0.00044105,             0.00044105
                     28,                 1.3946,                  1.104,                 1.3404,                 0.7713,                 0.7518,                0.81275,                0.47802,                 1.4916,                 1.0257,                  1.408,             0.00042305,             0.00042305,             0.00042305
                     29,                 1.3907,                 1.0755,                 1.3377,                0.73354,                0.76118,                0.80797,                 0.4727,                 1.4986,                 1.0433,                 1.4172,             0.00040505,             0.00040505,             0.00040505
                     30,                 1.3761,                 1.0861,                 1.3332,                0.77043,                0.77523,                0.82882,                0.47651,                  1.511,                 1.0172,                 1.4177,             0.00038705,             0.00038705,             0.00038705
