                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8047,                  4.611,                  1.603,                0.41063,                0.45646,                0.38661,                 0.1591,                 2.0459,                 2.2213,                 1.8942,             0.00030174,             0.00030174,             0.00030174
                      2,                 1.7835,                  2.381,                 1.5673,                0.55123,                0.58729,                0.56858,                0.27308,                 1.7792,                 1.7865,                 1.6189,              0.0005748,              0.0005748,              0.0005748
                      3,                 1.7199,                 1.8424,                 1.5428,                0.52337,                0.43914,                0.43768,                0.20553,                 1.9921,                 3.7232,                 1.8998,             0.00081787,             0.00081787,             0.00081787
                      4,                 1.7034,                 1.7005,                 1.5355,                0.67229,                0.64134,                0.69215,                0.33327,                 1.7571,                 1.4686,                 1.5524,             0.00077401,             0.00077401,             0.00077401
                      5,                 1.6671,                 1.5865,                 1.5102,                0.56755,                0.66006,                0.63482,                0.31954,                 1.8063,                 1.5206,                 1.6153,             0.00072902,             0.00072902,             0.00072902
                      6,                 1.6322,                 1.5073,                 1.4981,                0.65467,                 0.6974,                0.71673,                  0.384,                 1.6349,                 1.3439,                 1.5161,             0.00068402,             0.00068402,             0.00068402
                      7,                 1.5947,                 1.4458,                 1.4647,                0.68261,                0.70443,                 0.7383,                0.37765,                 1.6594,                 1.3026,                 1.5195,             0.00063903,             0.00063903,             0.00063903
                      8,                 1.5737,                 1.4003,                 1.4453,                0.69454,                0.74561,                0.74691,                0.39807,                 1.6514,                 1.2829,                 1.5153,             0.00059403,             0.00059403,             0.00059403
                      9,                 1.5359,                 1.3579,                 1.4293,                 0.7182,                0.72577,                0.76107,                0.41318,                 1.6353,                 1.2144,                 1.5114,             0.00054904,             0.00054904,             0.00054904
                     10,                 1.5453,                 1.3263,                 1.4395,                0.70341,                0.72684,                  0.759,                0.42057,                 1.6156,                 1.2006,                 1.4839,             0.00050404,             0.00050404,             0.00050404
                     11,                 1.5693,                 1.3019,                 1.4837,                0.70268,                0.72173,                 0.7616,                0.42536,                 1.5932,                 1.2187,                 1.4839,             0.00045904,             0.00045904,             0.00045904
                     12,                   1.53,                 1.2641,                 1.4667,                0.70307,                0.75517,                0.78139,                0.44779,                 1.5809,                 1.1575,                 1.4703,             0.00041405,             0.00041405,             0.00041405
                     13,                 1.5286,                 1.2343,                 1.4573,                0.72442,                0.72142,                0.76642,                0.44144,                 1.5528,                   1.17,                 1.4638,             0.00036905,             0.00036905,             0.00036905
                     14,                 1.5026,                 1.2026,                 1.4421,                0.75151,                0.75662,                0.80675,                0.45814,                 1.5324,                 1.0895,                 1.4394,             0.00032406,             0.00032406,             0.00032406
                     15,                 1.4904,                 1.1711,                 1.4352,                0.74188,                0.72824,                0.78562,                0.45354,                 1.5179,                 1.1297,                 1.4384,             0.00027906,             0.00027906,             0.00027906
                     16,                 1.4682,                  1.136,                 1.4236,                0.75543,                0.74621,                0.80097,                0.46558,                 1.5145,                 1.0679,                 1.4272,             0.00023407,             0.00023407,             0.00023407
                     17,                 1.4375,                 1.1104,                 1.4014,                0.76484,                0.77025,                 0.8208,                0.47689,                 1.5095,                 1.0384,                 1.4176,             0.00018907,             0.00018907,             0.00018907
                     18,                 1.4166,                 1.0744,                 1.3826,                0.76261,                0.76818,                0.80998,                0.47906,                 1.4951,                   1.03,                 1.4203,             0.00014408,             0.00014408,             0.00014408
                     19,                 1.4012,                 1.0455,                 1.3717,                0.76772,                0.76604,                0.82386,                0.48394,                 1.4999,                  1.001,                 1.4097,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                 1.3691,                 1.0024,                 1.3478,                0.77421,                0.76358,                0.82232,                0.48674,                 1.4886,                0.98847,                 1.4009,             5.4086e-05,             5.4086e-05,             5.4086e-05
