                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6402,                 6.8831,                 3.4143,                0.29764,                 0.4968,                0.31314,                0.11602,                 2.1809,                  3.124,                 2.6998,             0.00030237,             0.00030237,             0.00030237
                      2,                 2.0714,                 3.7576,                 2.5183,                 0.3918,                0.55448,                0.44348,                0.19182,                 1.9646,                 2.2888,                   2.39,              0.0005754,              0.0005754,              0.0005754
                      3,                 1.9653,                 2.4752,                 2.3296,                0.45907,                0.50692,                0.46628,                0.20797,                 1.9388,                 1.9481,                 2.2755,             0.00081844,             0.00081844,             0.00081844
                      4,                 1.8766,                 2.1036,                 2.2195,                0.51418,                 0.6186,                 0.5588,                0.25798,                 1.8479,                  1.753,                 2.1832,             0.00077401,             0.00077401,             0.00077401
                      5,                 1.8114,                 1.9182,                 2.1282,                0.54373,                0.62518,                0.61117,                0.30884,                 1.7513,                 1.6553,                  2.092,             0.00072902,             0.00072902,             0.00072902
                      6,                 1.7608,                  1.808,                 2.0628,                0.60911,                0.62282,                0.65039,                0.31995,                 1.7212,                  1.551,                 2.0927,             0.00068402,             0.00068402,             0.00068402
                      7,                 1.7082,                  1.714,                 2.0116,                0.62812,                0.61764,                0.64639,                0.31674,                 1.8083,                  1.542,                 2.0887,             0.00063903,             0.00063903,             0.00063903
                      8,                  1.663,                 1.6329,                 1.9632,                0.59843,                0.68275,                0.69703,                0.37518,                 1.6714,                 1.4459,                 1.9927,             0.00059403,             0.00059403,             0.00059403
                      9,                 1.6495,                 1.6041,                 1.9502,                0.66562,                0.66849,                0.71283,                0.36243,                 1.7355,                 1.4334,                 2.0317,             0.00054904,             0.00054904,             0.00054904
                     10,                 1.6174,                 1.5326,                 1.9176,                 0.6709,                0.72345,                0.72465,                0.38143,                 1.6875,                 1.3531,                 2.0271,             0.00050404,             0.00050404,             0.00050404
                     11,                 1.6405,                 1.4716,                  1.949,                0.65644,                 0.7215,                0.73789,                0.39657,                 1.6743,                   1.37,                 1.9921,             0.00045904,             0.00045904,             0.00045904
                     12,                 1.6008,                 1.4241,                 1.9276,                0.70475,                0.73151,                0.75655,                0.40373,                  1.655,                 1.2685,                 1.9474,             0.00041405,             0.00041405,             0.00041405
                     13,                 1.5927,                 1.3987,                 1.9038,                0.73339,                0.70887,                0.74328,                0.40963,                 1.6092,                 1.2974,                 1.9501,             0.00036905,             0.00036905,             0.00036905
                     14,                 1.5774,                 1.3554,                 1.8741,                0.69084,                0.72231,                0.74311,                0.41069,                   1.59,                 1.2986,                 1.9073,             0.00032406,             0.00032406,             0.00032406
                     15,                 1.5475,                 1.3312,                 1.8543,                0.73344,                0.72223,                0.76669,                0.42995,                 1.5375,                 1.2546,                 1.8755,             0.00027906,             0.00027906,             0.00027906
                     16,                  1.516,                 1.2763,                 1.8294,                0.78361,                0.70944,                0.78633,                0.44787,                 1.5512,                 1.1908,                 1.8887,             0.00023407,             0.00023407,             0.00023407
                     17,                 1.4967,                 1.2422,                 1.8061,                0.74167,                 0.7534,                0.78775,                0.45392,                 1.5353,                 1.1692,                 1.8705,             0.00018907,             0.00018907,             0.00018907
                     18,                 1.4598,                 1.2119,                 1.7854,                0.77838,                0.73864,                0.79459,                0.45464,                 1.5315,                 1.1384,                 1.8684,             0.00014408,             0.00014408,             0.00014408
                     19,                  1.447,                 1.1777,                 1.7727,                0.76393,                0.75398,                0.80995,                0.46924,                 1.5129,                 1.1253,                 1.8527,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                  1.414,                 1.1442,                 1.7435,                0.76121,                0.75267,                0.79864,                0.47463,                 1.4974,                 1.1093,                 1.8389,             5.4086e-05,             5.4086e-05,             5.4086e-05
