                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6408,                 6.9163,                 3.3405,                0.28665,                0.46191,                0.29801,                0.11535,                 2.1398,                  2.589,                 2.6718,             0.00030237,             0.00030237,             0.00030237
                      2,                 2.1053,                 3.8334,                 2.5035,                0.45644,                0.52021,                0.44263,                0.19782,                 1.9715,                 2.1026,                 2.3885,             0.00059338,             0.00059338,             0.00059338
                      3,                 1.9803,                 2.5048,                 2.3092,                0.41928,                0.56053,                0.48075,                0.22124,                 1.9188,                 1.9156,                  2.266,              0.0008724,              0.0008724,              0.0008724
                      4,                 1.8847,                 2.1053,                 2.1906,                0.53355,                 0.6186,                0.57578,                0.25912,                 1.8631,                  1.775,                 2.1458,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.8336,                   1.92,                 2.1192,                0.55352,                0.59623,                0.60306,                0.30114,                 1.7627,                 1.7009,                 2.0732,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.7702,                 1.8026,                 2.0386,                0.60388,                0.61557,                0.64881,                0.31824,                 1.7654,                 1.6407,                 2.0915,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.7305,                 1.7241,                 2.0003,                0.58906,                 0.6444,                0.63729,                0.32244,                 1.6987,                 1.5848,                  2.001,             0.00080101,             0.00080101,             0.00080101
                      8,                 1.6989,                 1.6423,                 1.9617,                0.60783,                 0.6526,                 0.6457,                0.33859,                 1.7437,                 1.5657,                 2.0278,             0.00078301,             0.00078301,             0.00078301
                      9,                 1.6793,                 1.6253,                 1.9486,                0.62576,                0.67928,                0.68743,                0.36326,                 1.6899,                  1.432,                 1.9654,             0.00076501,             0.00076501,             0.00076501
                     10,                 1.6477,                 1.5477,                 1.9179,                0.65953,                0.65359,                0.68978,                0.37507,                 1.7053,                 1.3746,                 1.9856,             0.00074702,             0.00074702,             0.00074702
                     11,                 1.6504,                 1.5631,                 1.9005,                0.65982,                0.65276,                0.68084,                0.36337,                 1.7211,                 1.5636,                 1.9941,             0.00072902,             0.00072902,             0.00072902
                     12,                 1.6298,                 1.5026,                 1.8816,                0.65064,                0.69612,                0.71369,                0.38369,                 1.6732,                 1.3708,                 1.9519,             0.00071102,             0.00071102,             0.00071102
                     13,                 1.6086,                 1.4814,                   1.86,                0.68741,                 0.7067,                0.73146,                0.39848,                 1.6153,                 1.3168,                  1.893,             0.00069302,             0.00069302,             0.00069302
                     14,                 1.5939,                 1.4437,                 1.8493,                0.63434,                0.70769,                0.71919,                0.40205,                 1.6092,                 1.3059,                 1.9049,             0.00067502,             0.00067502,             0.00067502
                     15,                  1.587,                 1.4306,                 1.8352,                0.66074,                0.74177,                0.74689,                0.41496,                 1.5942,                 1.2818,                 1.8617,             0.00065703,             0.00065703,             0.00065703
                     16,                  1.574,                 1.3932,                 1.8158,                0.71185,                0.71867,                0.76439,                0.42592,                 1.5686,                 1.2549,                 1.8409,             0.00063903,             0.00063903,             0.00063903
                     17,                 1.5521,                 1.3911,                 1.8017,                0.72171,                0.72363,                0.77856,                0.44822,                 1.5582,                 1.2208,                 1.8463,             0.00062103,             0.00062103,             0.00062103
                     18,                 1.5423,                 1.3712,                 1.7856,                0.71995,                  0.731,                0.75799,                 0.4211,                 1.5881,                 1.2559,                 1.8553,             0.00060303,             0.00060303,             0.00060303
                     19,                 1.5382,                 1.3467,                 1.7814,                 0.6705,                0.74243,                 0.7264,                0.40646,                 1.6224,                 1.2901,                 1.8988,             0.00058503,             0.00058503,             0.00058503
                     20,                 1.5324,                 1.3449,                 1.7775,                0.69778,                0.74948,                0.77384,                0.43469,                 1.5619,                 1.2464,                 1.8542,             0.00056703,             0.00056703,             0.00056703
                     21,                   1.52,                 1.3159,                  1.762,                0.76291,                0.73777,                0.78714,                0.43795,                 1.5957,                 1.1784,                 1.8455,             0.00054904,             0.00054904,             0.00054904
                     22,                 1.5048,                 1.3055,                  1.751,                0.72648,                0.72571,                0.76951,                0.43867,                 1.5733,                 1.1979,                 1.8399,             0.00053104,             0.00053104,             0.00053104
