                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6605,                 6.9268,                 3.4078,                0.36612,                0.41277,                0.30739,                0.11869,                 2.2242,                  2.364,                 2.8136,             0.00030237,             0.00030237,             0.00030237
                      2,                  2.101,                 3.7911,                 2.5852,                0.40354,                0.57272,                0.40571,                0.16525,                 2.0037,                 2.3268,                 2.4908,             0.00059338,             0.00059338,             0.00059338
                      3,                 1.9827,                 2.5314,                 2.4074,                0.47655,                0.53748,                0.46217,                0.19919,                 1.9536,                 1.9551,                 2.3943,              0.0008724,              0.0008724,              0.0008724
                      4,                 1.8885,                 2.1693,                 2.3026,                0.42826,                0.59476,                0.50878,                0.22811,                 1.8374,                 1.8398,                 2.2472,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.8326,                 1.9742,                 2.2257,                0.54267,                0.63498,                0.57754,                0.28272,                 1.7658,                 1.6787,                 2.2114,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.7794,                 1.8668,                 2.1553,                0.54894,                0.63534,                 0.5942,                0.27925,                 1.7637,                 1.7085,                  2.174,             0.00081901,             0.00081901,             0.00081901
                      7,                  1.734,                 1.7734,                 2.1084,                0.60467,                0.60149,                0.59132,                0.28604,                 1.8733,                 1.6948,                 2.2392,             0.00080101,             0.00080101,             0.00080101
                      8,                 1.6995,                 1.6969,                 2.0673,                0.65371,                0.63438,                0.67958,                0.34736,                 1.7188,                 1.4983,                 2.1051,             0.00078301,             0.00078301,             0.00078301
                      9,                 1.6858,                 1.6729,                  2.058,                0.59065,                 0.6834,                0.64883,                0.33358,                 1.6977,                 1.4931,                 2.1014,             0.00076501,             0.00076501,             0.00076501
                     10,                 1.6597,                 1.5967,                 2.0192,                0.64346,                0.72294,                0.71533,                0.38104,                 1.6746,                 1.3849,                 2.0813,             0.00074702,             0.00074702,             0.00074702
                     11,                 1.6559,                 1.6072,                 2.0091,                0.62282,                 0.6795,                0.68825,                0.36013,                 1.6533,                 1.4301,                 2.0427,             0.00072902,             0.00072902,             0.00072902
                     12,                  1.639,                 1.5408,                 1.9939,                0.68229,                0.68765,                0.70699,                  0.387,                 1.5966,                 1.3912,                  2.001,             0.00071102,             0.00071102,             0.00071102
                     13,                 1.6115,                  1.517,                 1.9556,                0.65877,                 0.7327,                 0.7313,                0.38515,                 1.6408,                 1.3573,                 2.0096,             0.00069302,             0.00069302,             0.00069302
                     14,                  1.609,                 1.4834,                   1.95,                0.65843,                 0.7234,                 0.7141,                0.38716,                 1.6105,                 1.3263,                 1.9824,             0.00067502,             0.00067502,             0.00067502
                     15,                 1.5978,                 1.4728,                 1.9386,                0.68282,                 0.7068,                0.74051,                0.40613,                 1.5664,                 1.2995,                 1.9369,             0.00065703,             0.00065703,             0.00065703
                     16,                 1.5679,                  1.432,                 1.9155,                0.69715,                0.74222,                0.76051,                0.41971,                 1.6128,                 1.2651,                 1.9823,             0.00063903,             0.00063903,             0.00063903
