                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4261,                0.95099,                 1.2908,                0.76758,                0.77722,                0.81005,                0.47199,                 3.6808,                 1.0077,                 1.4543,             0.00030174,             0.00030174,             0.00030174
                      2,                 3.4875,                 1.0244,                  1.334,                0.75311,                 0.7621,                0.79901,                0.45732,                 3.6884,                 1.0494,                 1.4711,             0.00059276,             0.00059276,             0.00059276
                      3,                 3.5141,                 1.0563,                 1.3555,                0.76868,                0.74543,                0.80597,                0.45254,                 3.7156,                 1.0922,                 1.5034,             0.00087179,             0.00087179,             0.00087179
                      4,                  3.528,                 1.0895,                 1.3609,                0.74178,                0.76651,                  0.794,                0.44388,                 3.7286,                 1.0577,                 1.4981,             0.00085501,             0.00085501,             0.00085501
                      5,                 3.5269,                  1.085,                 1.3649,                0.75051,                0.76506,                0.79502,                0.45031,                 3.7175,                 1.0474,                 1.4785,             0.00083701,             0.00083701,             0.00083701
                      6,                 3.5242,                 1.0657,                 1.3527,                 0.7689,                0.76406,                0.80166,                0.45653,                 3.6937,                 1.0798,                 1.4639,             0.00081901,             0.00081901,             0.00081901
                      7,                 3.5164,                 1.0581,                 1.3509,                0.81084,                0.72863,                0.80894,                0.46385,                 3.7133,                 1.0536,                 1.5041,             0.00080101,             0.00080101,             0.00080101
                      8,                 3.5055,                 1.0509,                 1.3466,                0.79786,                 0.7676,                0.81946,                0.46869,                 3.7159,                 1.0161,                  1.485,             0.00078301,             0.00078301,             0.00078301
                      9,                 3.4949,                 1.0214,                 1.3335,                0.76917,                0.75243,                0.80787,                0.46817,                 3.6892,                 1.0287,                  1.461,             0.00076501,             0.00076501,             0.00076501
                     10,                 3.5078,                 1.0338,                 1.3451,                0.79465,                0.77093,                0.81401,                0.46861,                 3.7211,                 1.0198,                 1.4774,             0.00074702,             0.00074702,             0.00074702
                     11,                 3.4816,                  1.013,                 1.3267,                0.78137,                0.76482,                0.80528,                  0.464,                 3.7163,                  1.041,                  1.493,             0.00072902,             0.00072902,             0.00072902
                     12,                 3.4714,                0.99074,                  1.326,                0.76117,                0.78497,                0.81415,                0.47013,                 3.6942,                 1.0015,                 1.4851,             0.00071102,             0.00071102,             0.00071102
                     13,                   3.46,                0.99194,                 1.3216,                0.79978,                0.76355,                0.81545,                0.47165,                 3.6902,                 1.0072,                 1.4754,             0.00069302,             0.00069302,             0.00069302
                     14,                  3.452,                0.97951,                 1.3155,                 0.7806,                0.77627,                0.81333,                0.47536,                 3.6804,                0.99044,                 1.4587,             0.00067502,             0.00067502,             0.00067502
                     15,                 3.4442,                0.95711,                 1.3024,                0.80553,                0.76377,                0.82331,                0.47301,                 3.7028,                 0.9935,                 1.4862,             0.00065703,             0.00065703,             0.00065703
                     16,                 3.4333,                0.95019,                  1.306,                0.80887,                0.74977,                 0.8107,                0.48904,                   3.67,                0.97861,                 1.4711,             0.00063903,             0.00063903,             0.00063903
                     17,                 3.4233,                0.93169,                 1.2973,                0.81295,                0.75409,                0.81238,                 0.4794,                 3.6882,                0.98688,                 1.4828,             0.00062103,             0.00062103,             0.00062103
                     18,                 3.4091,                0.92423,                 1.2837,                0.79759,                0.76371,                0.81377,                0.47638,                 3.7128,                0.99197,                   1.47,             0.00060303,             0.00060303,             0.00060303
                     19,                 3.4061,                0.91857,                 1.2739,                0.81185,                0.76416,                0.81782,                0.46875,                 3.6997,                0.97738,                 1.4694,             0.00058503,             0.00058503,             0.00058503
                     20,                 3.3927,                0.91318,                 1.2747,                0.81197,                0.76521,                0.82521,                0.48466,                 3.6952,                0.96031,                 1.4759,             0.00056703,             0.00056703,             0.00056703
                     21,                  3.389,                0.89761,                 1.2749,                0.81069,                0.76831,                0.82145,                0.48872,                 3.6708,                0.95983,                 1.4488,             0.00054904,             0.00054904,             0.00054904
                     22,                 3.3763,                0.89526,                 1.2697,                0.82176,                0.74716,                0.81869,                0.47649,                 3.7149,                0.97243,                 1.4805,             0.00053104,             0.00053104,             0.00053104
                     23,                 3.3747,                0.89191,                 1.2688,                0.78034,                0.76297,                 0.8048,                0.47176,                 3.7085,                0.98804,                 1.4841,             0.00051304,             0.00051304,             0.00051304
