                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.943,                 4.1699,                 1.5648,                0.43793,                0.58416,                  0.501,                0.22349,                 4.0009,                 1.9647,                 1.6618,             0.00030237,             0.00030237,             0.00030237
                      2,                 3.9264,                 2.2308,                 1.5443,                0.54035,                0.63827,                0.59555,                0.28233,                 3.9403,                  1.682,                 1.5865,              0.0005754,              0.0005754,              0.0005754
                      3,                  3.913,                 1.8428,                 1.5402,                0.53192,                0.64468,                0.59344,                0.29105,                 3.8959,                 1.6243,                 1.5488,             0.00081844,             0.00081844,             0.00081844
                      4,                 3.8764,                 1.7136,                 1.5259,                0.58835,                0.66695,                0.66395,                0.32418,                  3.885,                 1.5016,                 1.5569,             0.00077401,             0.00077401,             0.00077401
                      5,                 3.8357,                 1.6091,                 1.5112,                0.67537,                0.63641,                0.68985,                0.34878,                 3.8679,                 1.4303,                 1.5454,             0.00072902,             0.00072902,             0.00072902
                      6,                  3.777,                 1.5352,                 1.4911,                0.67845,                0.70236,                0.72249,                0.37792,                 3.7944,                 1.3633,                  1.542,             0.00068402,             0.00068402,             0.00068402
                      7,                 3.7492,                 1.4799,                 1.4764,                0.66468,                0.72585,                0.73143,                0.39162,                 3.7834,                 1.3153,                 1.5115,             0.00063903,             0.00063903,             0.00063903
                      8,                 3.7139,                 1.4231,                 1.4486,                0.66447,                0.73091,                0.75433,                0.40285,                 3.7742,                 1.2646,                 1.4942,             0.00059403,             0.00059403,             0.00059403
                      9,                 3.7005,                 1.4064,                 1.4472,                 0.6467,                0.74467,                 0.7358,                0.39271,                 3.7546,                 1.3334,                 1.4806,             0.00054904,             0.00054904,             0.00054904
                     10,                 3.6664,                 1.3452,                 1.4263,                0.72753,                0.70287,                0.76067,                 0.4235,                 3.6886,                 1.2329,                 1.4581,             0.00050404,             0.00050404,             0.00050404
                     11,                 3.7225,                 1.3202,                 1.4862,                0.75141,                0.71269,                0.77969,                0.42364,                 3.7218,                 1.1803,                 1.4701,             0.00045904,             0.00045904,             0.00045904
                     12,                 3.6813,                 1.2752,                 1.4787,                0.71765,                0.74305,                0.77616,                0.43508,                 3.7086,                 1.1878,                 1.4638,             0.00041405,             0.00041405,             0.00041405
                     13,                 3.6744,                 1.2577,                 1.4591,                0.73024,                0.76978,                0.78726,                0.44902,                 3.6779,                   1.16,                 1.4445,             0.00036905,             0.00036905,             0.00036905
                     14,                 3.6622,                 1.2291,                 1.4536,                0.73431,                0.74204,                 0.7893,                0.45329,                 3.6951,                 1.1184,                 1.4702,             0.00032406,             0.00032406,             0.00032406
                     15,                 3.6391,                 1.1987,                 1.4413,                0.70974,                0.76721,                0.79285,                0.46021,                 3.6538,                 1.1149,                  1.425,             0.00027906,             0.00027906,             0.00027906
                     16,                 3.6185,                  1.153,                 1.4255,                0.74144,                0.75596,                0.80512,                0.46271,                 3.6864,                 1.0988,                 1.4529,             0.00023407,             0.00023407,             0.00023407
                     17,                 3.5898,                 1.1248,                 1.4112,                0.75718,                0.75215,                0.80531,                0.47463,                 3.6469,                 1.0711,                  1.424,             0.00018907,             0.00018907,             0.00018907
                     18,                 3.5576,                  1.092,                 1.3906,                0.74013,                0.76848,                0.79916,                0.47022,                 3.6422,                 1.0664,                 1.4237,             0.00014408,             0.00014408,             0.00014408
                     19,                 3.5422,                  1.065,                 1.3859,                0.77291,                0.74675,                0.81538,                0.48565,                 3.6326,                 1.0485,                 1.4158,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                 3.5178,                 1.0232,                 1.3585,                0.76032,                0.77456,                0.81401,                0.48326,                  3.618,                 1.0344,                 1.4005,             5.4086e-05,             5.4086e-05,             5.4086e-05
