                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9788,                  5.428,                 1.6504,                 0.3386,                0.44135,                0.33133,                0.14139,                 4.0773,                 2.4664,                 1.6584,              0.0033194,              0.0033194,              0.0033194
                      2,                 3.8788,                 3.1861,                 1.4574,                0.48828,                0.41923,                0.40227,                0.18966,                 4.0899,                  2.714,                 1.7032,              0.0066198,              0.0066198,              0.0066198
                      3,                 3.9102,                 2.2453,                 1.4915,                0.41618,                 0.4484,                0.37731,                0.16803,                 4.0925,                  2.864,                 1.7382,              0.0098872,              0.0098872,              0.0098872
                      4,                 3.9637,                 1.9606,                 1.5412,                0.59859,                0.50161,                0.53128,                0.23717,                 4.1117,                 1.9279,                  1.708,              0.0098515,              0.0098515,              0.0098515
                      5,                  3.922,                 1.7955,                 1.5448,                0.48502,                0.49586,                0.45442,                0.20944,                 4.0182,                 2.1006,                 1.6704,               0.009802,               0.009802,               0.009802
                      6,                  3.877,                 1.6961,                 1.5222,                0.57212,                0.64152,                0.63579,                0.31301,                 3.9088,                 1.6127,                 1.5739,              0.0097525,              0.0097525,              0.0097525
                      7,                 3.8553,                 1.6435,                 1.5254,                0.50434,                0.59822,                0.58267,                0.28854,                 3.9444,                 1.6653,                 1.6193,               0.009703,               0.009703,               0.009703
                      8,                 3.8234,                 1.6058,                 1.5165,                0.60639,                0.64842,                0.63964,                0.32278,                 3.8856,                 1.5207,                 1.5811,              0.0096535,              0.0096535,              0.0096535
                      9,                 3.7921,                 1.5413,                 1.5051,                0.63306,                0.66476,                0.65675,                0.34444,                 3.8561,                 1.4896,                 1.5607,               0.009604,               0.009604,               0.009604
                     10,                 3.7914,                 1.5269,                 1.4954,                0.65773,                0.66936,                 0.6944,                0.35669,                 3.8331,                 1.3756,                 1.5402,              0.0095545,              0.0095545,              0.0095545
                     11,                  3.774,                 1.4943,                 1.4984,                 0.6412,                0.65866,                0.66416,                0.34785,                 3.8532,                 1.4621,                 1.6082,               0.009505,               0.009505,               0.009505
                     12,                 3.7545,                 1.4526,                  1.485,                0.68779,                0.63077,                0.68983,                0.36362,                 3.8435,                 1.4282,                 1.5478,              0.0094555,              0.0094555,              0.0094555
                     13,                  3.741,                 1.4432,                  1.477,                0.64204,                0.71403,                0.72848,                 0.3924,                 3.7511,                 1.3124,                 1.5045,               0.009406,               0.009406,               0.009406
                     14,                 3.7295,                 1.4211,                 1.4735,                0.71547,                0.68351,                0.73985,                0.39085,                 3.8132,                 1.3423,                 1.5417,              0.0093565,              0.0093565,              0.0093565
                     15,                 3.7274,                 1.4064,                   1.46,                0.70754,                 0.6735,                0.73857,                 0.3857,                 3.7845,                 1.2918,                 1.5174,               0.009307,               0.009307,               0.009307
                     16,                 3.7081,                 1.3848,                 1.4692,                0.70336,                0.69999,                0.74222,                0.40439,                 3.7833,                 1.2677,                 1.5578,              0.0092575,              0.0092575,              0.0092575
                     17,                 3.7008,                 1.3654,                 1.4512,                0.70728,                0.71333,                0.75635,                0.42367,                 3.7203,                 1.2358,                 1.4931,               0.009208,               0.009208,               0.009208
                     18,                 3.6927,                 1.3417,                 1.4463,                0.72868,                0.69052,                0.74481,                0.39929,                  3.744,                 1.2694,                 1.5107,              0.0091585,              0.0091585,              0.0091585
                     19,                 3.6883,                 1.3375,                  1.443,                0.72252,                0.72038,                0.76356,                0.42006,                 3.7374,                 1.2009,                 1.4924,               0.009109,               0.009109,               0.009109
                     20,                 3.6726,                 1.3295,                 1.4347,                0.67837,                0.68328,                 0.7059,                0.38302,                 3.8517,                 1.3594,                 1.5878,              0.0090595,              0.0090595,              0.0090595
                     21,                 3.6786,                 1.3169,                 1.4489,                0.70664,                0.72224,                0.76166,                0.41861,                 3.7402,                 1.2292,                 1.5061,                0.00901,                0.00901,                0.00901
                     22,                 3.6696,                 1.3055,                  1.442,                0.72139,                0.73219,                0.77708,                0.43099,                 3.7011,                 1.1835,                 1.4693,              0.0089605,              0.0089605,              0.0089605
                     23,                 3.6624,                 1.3036,                  1.439,                0.70776,                0.74091,                0.76178,                0.42723,                 3.7271,                 1.1937,                 1.5155,               0.008911,               0.008911,               0.008911
                     24,                 3.6453,                 1.2873,                 1.4246,                0.71831,                0.73476,                0.75768,                0.41639,                 3.7259,                 1.1912,                 1.5002,              0.0088615,              0.0088615,              0.0088615
                     25,                  3.654,                 1.2696,                 1.4262,                0.70944,                0.74567,                0.78092,                0.43565,                  3.715,                 1.1501,                  1.478,               0.008812,               0.008812,               0.008812
                     26,                  3.652,                   1.26,                 1.4215,                0.74627,                0.72869,                0.77493,                0.42238,                 3.7369,                 1.1647,                 1.4982,              0.0087625,              0.0087625,              0.0087625
                     27,                 3.6349,                 1.2555,                 1.4141,                0.74127,                0.70359,                0.75906,                0.42696,                 3.7483,                 1.2227,                  1.504,               0.008713,               0.008713,               0.008713
                     28,                 3.6337,                 1.2485,                 1.4206,                0.74508,                0.76137,                0.77815,                0.44228,                 3.6872,                 1.1405,                 1.4652,              0.0086635,              0.0086635,              0.0086635
                     29,                 3.6265,                 1.2368,                 1.4103,                0.68205,                0.73872,                 0.7538,                0.43017,                  3.722,                 1.1956,                 1.4816,               0.008614,               0.008614,               0.008614
                     30,                 3.6221,                 1.2359,                 1.4096,                0.73426,                0.77157,                0.79925,                0.45747,                 3.6937,                 1.1061,                  1.467,              0.0085645,              0.0085645,              0.0085645
                     31,                 3.6179,                 1.2173,                 1.4092,                0.74576,                0.72067,                 0.7714,                0.43097,                 3.7553,                 1.1845,                 1.4971,               0.008515,               0.008515,               0.008515
                     32,                 3.6021,                 1.2214,                 1.3988,                0.73844,                0.75393,                0.80686,                0.46884,                 3.6469,                  1.092,                 1.4312,              0.0084655,              0.0084655,              0.0084655
                     33,                 3.5983,                 1.1991,                 1.3991,                0.75693,                0.76899,                0.80217,                0.45962,                 3.6714,                 1.0965,                 1.4541,               0.008416,               0.008416,               0.008416
                     34,                 3.5929,                  1.201,                 1.3966,                0.75269,                 0.7515,                0.79622,                0.45003,                 3.7014,                 1.1044,                 1.4596,              0.0083665,              0.0083665,              0.0083665
                     35,                 3.5893,                 1.1847,                 1.3913,                0.72574,                0.74918,                0.78766,                0.44825,                 3.7043,                 1.0996,                 1.4668,               0.008317,               0.008317,               0.008317
                     36,                 3.5917,                  1.176,                 1.3856,                0.73753,                0.75043,                0.79794,                0.45744,                 3.6898,                  1.083,                 1.4468,              0.0082675,              0.0082675,              0.0082675
                     37,                 3.5885,                 1.1785,                 1.3838,                0.76105,                0.75027,                0.80077,                0.45857,                 3.6571,                 1.0975,                 1.4489,               0.008218,               0.008218,               0.008218
                     38,                 3.5827,                 1.1716,                 1.3898,                0.75936,                0.74546,                 0.7976,                0.46328,                 3.6896,                 1.0796,                 1.4662,              0.0081685,              0.0081685,              0.0081685
                     39,                 3.5772,                 1.1632,                  1.384,                0.74826,                 0.7607,                0.80242,                0.46853,                 3.6516,                 1.0702,                  1.445,               0.008119,               0.008119,               0.008119
                     40,                 3.5763,                 1.1486,                  1.369,                0.77586,                0.74963,                 0.8099,                0.47296,                 3.6545,                 1.0563,                 1.4365,              0.0080695,              0.0080695,              0.0080695
