                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9528,                  4.586,                 1.6005,                0.42606,                0.49008,                0.43198,                0.18223,                 4.1016,                 2.3725,                  1.779,             0.00030174,             0.00030174,             0.00030174
                      2,                 3.9271,                 2.3657,                 1.5721,                 0.5505,                0.54062,                0.54183,                0.24997,                 3.9598,                  1.879,                 1.6424,             0.00059276,             0.00059276,             0.00059276
                      3,                 3.8898,                 1.8384,                 1.5642,                 0.4962,                0.51514,                0.52326,                 0.2403,                 4.0948,                 2.0213,                 1.6882,             0.00087179,             0.00087179,             0.00087179
                      4,                 3.8699,                 1.7099,                 1.5551,                 0.6647,                0.61773,                0.66108,                0.32776,                 3.9212,                 1.4903,                 1.5931,             0.00085501,             0.00085501,             0.00085501
                      5,                 3.8362,                  1.618,                 1.5398,                  0.584,                0.58427,                0.62746,                0.30034,                 3.9937,                 1.6361,                  1.728,             0.00083701,             0.00083701,             0.00083701
                      6,                 3.7998,                  1.541,                 1.5184,                0.67662,                 0.6872,                 0.7093,                0.36375,                 3.8196,                 1.3829,                 1.5658,             0.00081901,             0.00081901,             0.00081901
                      7,                 3.7675,                 1.4889,                 1.5006,                0.64163,                0.68703,                0.70206,                0.36316,                 3.8342,                 1.4103,                 1.5695,             0.00080101,             0.00080101,             0.00080101
                      8,                 3.7371,                 1.4453,                 1.4812,                0.72415,                0.69494,                0.73596,                 0.3894,                 3.8076,                 1.3324,                 1.5483,             0.00078301,             0.00078301,             0.00078301
                      9,                  3.712,                 1.4041,                  1.476,                0.70366,                0.68011,                 0.7213,                 0.3781,                 3.8314,                 1.3251,                 1.5471,             0.00076501,             0.00076501,             0.00076501
                     10,                 3.7225,                 1.3949,                 1.4779,                0.74902,                0.70306,                0.76045,                0.41627,                 3.7494,                  1.246,                 1.5178,             0.00074702,             0.00074702,             0.00074702
                     11,                 3.6962,                 1.3648,                 1.4614,                0.69204,                0.67759,                0.74396,                0.40555,                 3.7682,                 1.2799,                 1.5386,             0.00072902,             0.00072902,             0.00072902
                     12,                 3.6816,                 1.3251,                 1.4443,                 0.6931,                0.71169,                0.74116,                 0.4008,                 3.7691,                 1.2809,                   1.52,             0.00071102,             0.00071102,             0.00071102
                     13,                 3.6669,                 1.3057,                 1.4431,                0.74337,                0.70674,                0.76736,                0.43094,                 3.7121,                 1.1946,                 1.4874,             0.00069302,             0.00069302,             0.00069302
                     14,                 3.6569,                 1.2951,                  1.441,                0.71017,                0.72853,                0.77718,                0.43829,                 3.7178,                 1.1733,                  1.476,             0.00067502,             0.00067502,             0.00067502
                     15,                 3.6532,                 1.2683,                 1.4263,                0.71027,                0.71514,                0.76445,                0.42809,                 3.7493,                  1.171,                 1.4948,             0.00065703,             0.00065703,             0.00065703
                     16,                 3.6289,                 1.2609,                 1.4237,                0.70488,                0.69741,                0.76233,                0.43173,                 3.7151,                 1.1806,                 1.4846,             0.00063903,             0.00063903,             0.00063903
                     17,                 3.6234,                 1.2369,                 1.4126,                0.71822,                0.74035,                 0.7841,                0.43088,                 3.7572,                 1.1157,                 1.4958,             0.00062103,             0.00062103,             0.00062103
                     18,                  3.608,                 1.2299,                 1.4052,                0.71987,                0.74295,                0.77992,                0.44433,                 3.6953,                 1.1443,                 1.4708,             0.00060303,             0.00060303,             0.00060303
                     19,                 3.6013,                 1.2087,                 1.4024,                0.74842,                0.75927,                0.80139,                0.44707,                  3.693,                 1.1059,                 1.4679,             0.00058503,             0.00058503,             0.00058503
                     20,                 3.5962,                 1.1994,                 1.3915,                0.73217,                0.76012,                0.78075,                0.44848,                 3.7106,                 1.1279,                 1.4884,             0.00056703,             0.00056703,             0.00056703
                     21,                 3.5968,                 1.1948,                 1.3951,                0.74783,                0.73719,                0.79469,                0.45574,                 3.6752,                  1.103,                 1.4624,             0.00054904,             0.00054904,             0.00054904
