                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9594,                 4.4561,                 1.5853,                0.51359,                0.50483,                0.49554,                 0.2271,                 4.0124,                 1.9564,                 1.6401,             0.00030174,             0.00030174,             0.00030174
                      2,                 3.9204,                 2.3304,                 1.5541,                0.61977,                0.60164,                 0.6061,                0.29707,                 3.9525,                 1.7081,                 1.6045,              0.0005748,              0.0005748,              0.0005748
                      3,                 3.8899,                 1.8371,                 1.5382,                0.57061,                0.60885,                0.58974,                0.27184,                 3.9885,                 1.7139,                 1.6164,             0.00081787,             0.00081787,             0.00081787
                      4,                 3.8683,                 1.6985,                 1.5314,                0.57313,                0.64101,                0.63381,                0.29422,                 3.9717,                 1.5897,                  1.616,             0.00077401,             0.00077401,             0.00077401
                      5,                 3.8171,                 1.5843,                 1.5067,                0.66361,                0.66032,                0.68738,                0.35162,                 3.8758,                 1.4349,                 1.5521,             0.00072902,             0.00072902,             0.00072902
                      6,                 3.7703,                 1.5091,                 1.4819,                0.64944,                0.68763,                0.72768,                0.38452,                 3.8269,                 1.3642,                  1.525,             0.00068402,             0.00068402,             0.00068402
                      7,                 3.7351,                 1.4541,                 1.4562,                0.65893,                0.70993,                 0.7266,                0.37139,                 3.8235,                 1.3267,                  1.527,             0.00063903,             0.00063903,             0.00063903
                      8,                 3.7062,                 1.3935,                   1.44,                0.71628,                0.70233,                0.74862,                0.40553,                 3.7955,                  1.263,                  1.506,             0.00059403,             0.00059403,             0.00059403
                      9,                 3.6809,                 1.3471,                 1.4235,                0.72407,                0.68986,                0.74989,                0.39416,                 3.8209,                 1.2666,                 1.4913,             0.00054904,             0.00054904,             0.00054904
                     10,                 3.6845,                 1.3265,                 1.4294,                0.69543,                0.72608,                0.76302,                0.41286,                 3.7597,                 1.2006,                  1.476,             0.00050404,             0.00050404,             0.00050404
                     11,                 3.7167,                 1.2957,                 1.4859,                0.71483,                0.71979,                0.75394,                0.42291,                 3.7107,                 1.1835,                 1.4528,             0.00045904,             0.00045904,             0.00045904
                     12,                 3.6811,                 1.2561,                 1.4545,                0.73994,                0.73293,                0.78753,                 0.4453,                 3.7228,                 1.1526,                 1.4584,             0.00041405,             0.00041405,             0.00041405
                     13,                 3.6716,                 1.2213,                   1.45,                 0.6937,                0.74159,                0.76487,                0.42936,                  3.715,                 1.1741,                 1.4687,             0.00036905,             0.00036905,             0.00036905
                     14,                 3.6491,                 1.1969,                 1.4366,                0.76831,                0.74253,                 0.7883,                0.45176,                 3.6787,                 1.0854,                 1.4306,             0.00032406,             0.00032406,             0.00032406
                     15,                 3.6303,                 1.1559,                 1.4235,                0.74242,                0.76157,                0.78961,                0.46047,                 3.6546,                 1.0929,                 1.4257,             0.00027906,             0.00027906,             0.00027906
                     16,                  3.606,                 1.1246,                 1.4113,                 0.7258,                0.77956,                0.79495,                0.46625,                 3.6781,                  1.076,                 1.4241,             0.00023407,             0.00023407,             0.00023407
                     17,                 3.5798,                 1.1024,                  1.392,                0.74767,                0.76761,                0.80268,                0.47058,                 3.6459,                  1.038,                 1.4098,             0.00018907,             0.00018907,             0.00018907
                     18,                 3.5518,                 1.0613,                 1.3765,                0.75034,                0.79819,                0.80845,                0.48066,                 3.6252,                 1.0271,                 1.3991,             0.00014408,             0.00014408,             0.00014408
                     19,                 3.5315,                 1.0441,                 1.3621,                0.74476,                0.79642,                   0.82,                0.48343,                 3.6404,                 1.0071,                 1.3966,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                 3.5057,                0.99769,                 1.3413,                0.76308,                0.78428,                0.81766,                0.49144,                 3.6143,                0.98773,                  1.378,             5.4086e-05,             5.4086e-05,             5.4086e-05
